;H1-1;H1-2;H1-3;H2-1;H2-2;H2-3;H3-1;H3-2;H3-3
A0A3Q2I2S2;1;1;1;1;1;1;1;1;1
A0A3Q2I2V3;1;1;1;1;1;1;1;1;1
A0A3Q2I334;1;1;1;1;1;1;1;1;1
A0A3Q2I364;1;1;1;1;1;1;1;1;1
A0A3Q2I375;1;1;1;1;1;1;1;1;1
A0A3Q2I377;1;1;1;1;1;1;1;1;1
A0A3Q2I386;1;1;1;1;1;1;1;1;1
A0A3Q2I388;1;1;1;1;1;1;1;1;1
A0A3Q2I392;1;1;1;1;1;1;0;1;0
A0A3Q2I397;1;1;1;1;1;1;1;1;1
A0A3Q2I3M2;1;1;1;1;1;1;1;1;1
A0A3Q2I3N3;1;1;1;1;1;1;1;1;1
A0A3Q2I3T2;1;1;1;1;1;1;1;1;1
A0A3Q2I3T9;1;1;1;1;1;1;1;1;1
A0A3Q2I424;1;1;1;1;1;1;1;1;1
A0A3Q2I484;1;1;0;1;0;0;0;0;0
A0A3Q2I489;1;1;1;1;1;1;1;1;1
A0A3Q2I4F4;1;1;1;1;1;1;1;1;1
A0A3Q2I4L0;1;1;1;1;1;1;1;1;1
A0A3Q2I4N2;1;1;1;1;1;1;1;1;1
A0A3Q2I4V9;1;1;1;1;1;1;1;1;0
A0A3Q2I4Z2;1;1;1;1;1;1;1;1;1
A0A3Q2I544;1;1;1;1;1;1;1;1;1
A0A3Q2I545;1;1;1;1;1;0;1;1;1
A0A3Q2I568;1;1;1;1;1;1;1;1;1
A0A3Q2I591;1;1;1;1;1;1;1;1;1
A0A3Q2I5B1;1;1;1;1;1;1;1;1;1
A0A3Q2I5C4;1;1;1;1;1;1;1;1;1
A0A3Q2I5N3;1;1;1;1;1;1;0;1;0
A0A3Q2I5N9;1;1;1;1;1;1;1;1;1
A0A3Q2I5Q7;1;1;1;1;1;1;1;1;0
A0A3Q2I5T2;1;1;1;1;1;1;1;1;1
A0A3Q2I635;1;1;1;1;0;1;0;0;0
A0A3Q2I637;1;1;1;1;1;1;1;1;1
A0A3Q2I6B9;1;1;1;1;1;1;1;0;0
A0A3Q2I6E8;1;1;1;1;1;1;1;1;1
A0A3Q2I6P6;1;1;1;1;1;1;1;0;1
A0A3Q2I6Z2;1;1;1;1;0;1;1;1;0
A0A3Q2I711;1;1;1;1;1;1;0;1;1
A0A3Q2I7A4;1;1;1;1;1;1;1;1;1
A0A3Q2I7C1;1;1;1;1;1;1;1;1;0
A0A3Q2I7E3;1;1;1;1;1;1;1;1;1
A0A3Q2I839;1;1;1;1;1;1;1;1;1
A0A3Q2I888;1;1;1;1;1;1;1;1;1
A0A3Q2I8D8;1;1;1;1;1;1;1;1;1
A0A3Q2I8H2;1;1;1;1;1;1;1;1;1
A0A3Q2I8K9;0;1;0;0;1;0;1;1;1
A0A3Q2I8P4;1;1;1;1;1;1;1;1;1
A0A3Q2I8Q1;1;1;1;1;1;1;1;1;1
A0A3Q2I8V6;1;1;1;1;1;0;0;0;0
A0A3Q2I997;1;1;1;1;1;1;1;1;1
A0A3Q2I9A2;1;1;1;1;1;1;1;1;1
A0A3Q2I9B9;1;1;1;1;1;1;1;1;1
A0A3Q2I9F2;1;1;1;1;1;1;0;1;1
A0A3Q2I9R9;1;1;1;1;1;1;1;1;1
A0A3Q2I9X3;0;0;0;0;0;0;0;0;0
A0A3Q2I9Y5;0;0;0;1;1;1;0;0;0
A0A3Q2IA43;1;1;1;1;1;1;1;1;1
A0A3Q2IA51;1;1;1;1;1;1;1;1;1
A0A3Q2IA99;1;1;1;1;1;1;1;1;1
A0A3Q2IAD9;1;1;1;1;1;1;0;1;0
A0A3Q2IAJ9;1;1;1;1;1;1;1;1;1
A0A3Q2IAR3;1;1;1;1;1;1;1;1;1
A0A3Q2IAX1;1;1;1;1;1;1;1;1;1
A0A3Q2IAX4;1;1;0;1;1;1;1;1;1
A0A3Q2IAY9;1;1;1;1;1;1;1;1;1
A0A3Q2IB08;1;1;1;1;1;1;1;1;1
A0A3Q2IB36;1;1;1;1;1;1;1;1;1
A0A3Q2IB81;1;1;1;1;1;0;0;0;0
A0A3Q2IBB5;1;1;1;1;1;1;1;1;1
A0A3Q2IBF3;1;1;1;1;1;1;1;1;1
A0A3Q2IBH4;1;1;1;1;1;1;1;1;1
A0A3Q2IBJ8;1;1;1;1;1;1;1;1;1
A0A3Q2IBR6;1;1;1;1;1;1;1;1;1
A0A3Q2IBS2;1;1;1;1;1;1;0;0;0
A0A3Q2IBX2;1;1;1;1;1;1;1;1;1
A0A3Q2IBZ8;1;1;1;1;1;1;1;1;1
A0A3Q2IC53;1;1;1;1;1;1;0;1;1
A0A3Q2IC55;1;1;1;1;1;1;1;1;1
A0A3Q2ICA0;1;1;1;1;1;1;1;1;1
A0A3Q2ICE8;1;1;1;1;1;1;1;1;1
A0A3Q2ICH2;1;1;1;1;1;1;0;0;0
A0A3Q2ICQ1;1;1;1;1;1;0;0;0;0
A0A3Q2ICQ9;1;1;1;1;1;1;0;0;0
A0A3Q2ICY3;1;1;0;1;0;0;0;1;0
A0A3Q2ID58;1;1;1;1;1;1;1;1;1
A0A3Q2ID60;1;1;1;1;0;1;1;0;0
A0A3Q2IDD2;1;1;1;1;1;1;1;1;1
A0A3Q2IDE0;1;1;1;1;0;1;1;1;0
A0A3Q2IDL5;1;1;1;1;1;1;1;1;1
A0A3Q2IDM7;1;1;1;1;1;1;1;1;1
A0A3Q2IDT4;1;1;1;1;1;1;1;1;1
A0A3Q2IE84;1;1;1;1;1;1;1;1;1
A0A3Q2IEH6;1;1;1;1;1;1;1;1;1
A0A3Q2IEU7;1;1;1;1;1;1;1;1;1
A0A3Q2IF57;1;1;1;1;0;0;0;0;0
A0A3Q2IFM4;1;1;1;1;1;1;1;1;1
A0A3Q2IFZ6;1;1;1;1;1;1;1;1;1
A0A3Q2IGG6;1;1;1;1;1;1;1;1;1
A0A3Q2IH24;1;1;1;1;0;1;1;0;1
A0A3Q2IH68;1;1;1;1;1;1;0;0;0
A0A3Q2IH91;1;1;1;1;1;1;1;1;1
A0A3Q2IJD2;1;1;1;1;1;1;1;0;1
A0A3Q2IJW7;1;1;1;1;1;1;1;1;0
A0A3Q2IKM8;1;1;1;1;1;1;1;1;1
A0A3Q2IL45;0;0;1;0;0;0;0;0;0
A0A3Q2KIT2;0;1;1;1;0;0;1;1;1
A0A3Q2KIZ6;1;1;1;1;1;1;1;1;0
A0A3Q2KJ50;1;1;1;1;1;1;1;1;1
A0A3Q2KK98;1;1;1;1;1;1;1;1;0
A0A3Q2KKY4;1;1;1;1;1;1;1;1;1
A0A3Q2KM06;1;1;1;1;1;1;1;1;1
A0A3Q2KMB7;1;1;0;0;1;1;0;0;1
A0A3Q2KN19;1;1;1;1;1;1;1;1;1
A0A3Q2KNI6;1;1;1;1;1;1;0;0;0
A0A3Q2KQG9;1;1;0;1;0;0;0;1;0
A0A3Q2KQZ5;1;1;1;1;0;0;0;0;0
A0A3Q2KR07;1;1;1;1;1;1;1;1;1
A0A3Q2KS36;1;1;1;1;1;1;1;1;1
A0A3Q2KSQ5;1;1;1;1;1;1;1;1;1
A0A3Q2KSV8;1;1;1;1;1;1;1;1;1
A0A3Q2KTE7;1;1;1;1;1;1;1;1;1
A0A3Q2KTH0;1;1;1;1;1;1;1;0;0
A0A3Q2KTL8;1;1;1;1;1;1;1;1;0
A0A3Q2KTQ9;1;1;1;1;1;1;1;1;1
A0A3Q2KTU0;1;1;1;1;1;1;1;1;1
A0A3Q2KUF5;1;1;1;1;1;1;1;0;1
A0A3Q2KV79;1;1;1;1;1;1;1;1;1
A0A3Q2KWC3;1;1;1;1;1;1;1;1;0
A0A3Q2KXN9;0;0;0;1;0;0;0;0;0
A0A3Q2KXP3;1;1;1;1;1;1;1;1;1
A0A3Q2KXT4;1;1;1;1;1;1;1;1;1
A0A3Q2KXW2;1;1;1;0;1;1;0;0;1
A0A3Q2KYI9;1;1;1;1;1;1;0;0;0
A0A3Q2KYM7;1;1;1;1;1;1;1;1;1
A0A3Q2KZA5;1;1;1;1;1;1;1;1;1
A0A3Q2L0S7;1;1;1;1;1;1;0;0;0
A0A3Q2L1K0;1;1;1;1;1;1;1;0;0
A0A3Q2L1U2;1;1;1;1;1;1;0;0;0
A0A3Q2L241;1;0;1;1;1;1;0;0;0
A0A3Q2L2W1;1;1;1;1;1;1;1;1;1
A0A3Q2L2Z1;1;1;0;1;1;1;1;1;0
A0A3Q2L321;1;1;1;1;1;1;0;0;0
A0A3Q2L3I3;1;1;1;1;1;1;1;1;1
A0A3Q2L425;1;1;1;1;1;1;1;1;0
A0A3Q2L4G6;1;1;1;1;1;1;1;1;1
A0A3Q2L4I6;1;1;1;1;1;1;0;0;1
A0A3Q2L4S5;1;1;1;1;1;1;1;1;1
A0A3Q2L541;1;1;1;1;1;1;1;1;1
A0A3Q2L5D3;1;1;1;1;1;1;1;1;1
A0A3Q2L6P4;1;1;0;0;0;0;0;0;0
A0A3Q2L7S7;1;1;1;1;1;1;0;0;0
A0A3Q2L7X0;1;1;1;1;1;1;1;1;1
A0A3Q2L9G2;1;0;1;1;1;1;1;0;0
A0A3Q2L9H8;1;1;1;1;0;1;0;0;0
A0A3Q2LA32;1;1;1;1;1;1;0;1;1
A0A3Q2LA46;1;1;1;1;1;0;1;1;1
A0A3Q2LBP6;1;1;1;1;1;1;1;1;1
A0A3Q2LC76;1;1;1;1;1;1;1;1;1
A0A3Q2LCW0;1;1;1;1;1;1;1;1;1
A0A3Q2LDC2;1;1;1;1;1;1;1;1;1
A0A3Q2LDJ2;1;1;1;1;1;1;1;1;1
A0A3Q2LDP0;1;1;1;1;1;1;1;1;1
A0A3Q2LDS4;1;1;1;1;1;1;1;1;1
A0A3Q2LE02;1;1;1;1;1;1;1;1;1
A0A3Q2LEJ5;1;1;0;0;0;1;0;0;0
A0A3Q2LF07;1;1;1;1;1;1;0;0;0
A0A3Q2LFB3;1;1;1;1;1;1;1;1;1
A0A3Q2LFN8;1;1;1;1;1;1;1;0;0
A0A3Q2LG25;1;1;1;1;1;1;1;1;1
A0A3Q2LGV8;1;1;1;1;1;1;0;1;0
A0A3Q2LHT8;1;1;1;1;1;1;1;1;1
A0A3Q2LHZ1;1;1;1;1;1;1;1;1;1
A0A3Q2LIG3;1;1;1;1;1;1;1;1;1
A0A3Q2LIQ8;1;1;1;1;0;1;0;1;0
A0A3Q2LJ28;0;0;0;0;1;0;0;0;0
A0A3Q2LJK9;1;1;1;1;1;1;1;1;1
A0A3Q2LJW8;1;1;1;1;1;1;1;1;1
A0A3Q2LKP7;1;1;1;1;1;1;0;1;0
A0A3Q2LKR5;1;1;1;1;1;1;1;1;1
A0A3Q2LKV4;1;1;1;1;1;1;1;1;1
A0A3Q2LMJ9;1;1;1;1;1;0;1;1;0
A0A3Q2LML3;1;1;1;1;1;1;1;1;0
A0A3Q2LML8;1;1;1;1;1;1;0;0;0
A0A3Q2LMN3;1;1;1;1;1;1;1;1;1
A0A3Q2LMR5;1;1;1;1;1;1;1;1;1
A0A3Q2LMT8;1;1;1;1;1;1;1;1;1
A0A3Q2LNE8;1;1;1;1;1;1;1;1;1
A0A3Q2LNW9;1;1;1;1;1;1;1;1;1
A0A3Q2LPE6;1;1;1;1;1;1;1;1;1
A0A3Q2LQ12;1;1;1;1;1;1;1;1;1
A0A3Q2LQ45;1;1;1;1;1;1;1;0;0
A0A3Q2LQ87;1;1;1;1;1;1;1;1;1
A0A3Q2LQH7;1;1;1;1;1;1;1;1;1
A0A3Q2LQX9;1;1;1;1;1;1;1;1;1
A0A3Q2LR25;1;1;1;1;1;1;1;1;1
A0A3Q2LRH6;1;1;1;1;1;1;1;1;1
A0A3Q2LRH9;1;1;1;1;1;1;1;1;1
A0A3Q2LS25;1;1;1;1;1;1;1;1;1
A0A3Q2LSB2;1;1;1;1;1;1;1;1;1
A0A3Q2LSX9;1;1;1;1;1;1;1;1;1
A0A3Q2LT36;1;1;1;1;1;1;1;1;1
A0A3Q2LUC2;1;1;1;1;0;1;0;0;1
A0A3Q2LUC4;1;1;1;1;1;1;1;1;1
A0A452GEM3;1;1;1;1;1;1;1;1;1
A0A452GEN0;1;1;1;1;1;1;0;0;0
A0A452GER3;1;1;1;1;1;1;1;1;1
A0A5F5PEB8;1;1;1;1;1;1;1;1;1
A0A5F5PED6;1;1;1;1;1;1;1;1;1
A0A5F5PEE6;0;0;0;0;0;0;1;0;0
A0A5F5PEF5;1;1;1;1;1;1;1;1;1
A0A5F5PEM8;1;1;1;1;1;1;1;1;1
A0A5F5PER4;1;1;1;1;1;1;0;1;1
A0A5F5PET2;1;1;1;1;1;1;0;1;1
A0A5F5PET6;1;1;1;1;1;1;1;1;1
A0A5F5PEV8;1;1;1;1;0;0;0;0;0
A0A5F5PEW2;1;1;1;1;1;1;1;1;1
A0A5F5PF02;1;1;1;1;1;1;1;1;1
A0A5F5PF23;1;1;1;1;1;1;1;1;1
A0A5F5PF54;1;1;1;1;1;1;1;1;0
A0A5F5PFA0;1;1;1;1;1;1;1;1;1
A0A5F5PFG7;1;1;1;1;1;1;1;1;1
A0A5F5PFI0;1;1;0;0;0;0;1;0;0
A0A5F5PFL6;1;1;1;1;1;1;1;1;1
A0A5F5PFW9;1;1;1;1;1;1;1;1;1
A0A5F5PG70;1;1;1;1;1;0;0;1;0
A0A5F5PGA8;1;1;1;1;1;1;1;1;1
A0A5F5PGB0;1;1;1;1;1;1;1;1;1
A0A5F5PGC3;1;1;1;1;1;1;1;1;1
A0A5F5PGQ6;1;1;1;1;1;1;1;0;0
A0A5F5PGT1;0;0;0;0;0;0;0;0;0
A0A5F5PGU1;1;1;1;1;1;1;1;1;1
A0A5F5PH67;1;1;1;1;1;1;1;1;1
A0A5F5PH75;1;0;1;1;1;1;0;0;0
A0A5F5PHL4;1;1;1;1;1;1;1;1;0
A0A5F5PHP0;1;1;1;1;1;1;1;1;1
A0A5F5PHQ4;1;1;0;1;0;0;0;0;0
A0A5F5PHR4;1;1;1;1;1;1;1;1;1
A0A5F5PHU5;0;0;0;0;0;1;0;0;0
A0A5F5PI72;1;1;1;1;1;1;1;1;1
A0A5F5PI89;1;1;1;1;1;1;1;1;1
A0A5F5PI91;1;1;1;1;1;1;1;1;1
A0A5F5PIB7;1;1;1;1;1;1;1;1;1
A0A5F5PIC6;1;1;1;1;1;1;0;1;0
A0A5F5PIH0;1;1;1;1;1;1;1;1;1
A0A5F5PIH7;1;1;1;1;1;0;0;0;0
A0A5F5PII4;1;1;1;1;1;1;1;1;1
A0A5F5PIJ3;1;1;1;1;1;1;1;1;1
A0A5F5PIJ7;1;1;1;1;1;1;1;1;1
A0A5F5PIK5;1;1;1;1;1;1;1;1;1
A0A5F5PIT2;1;1;1;1;1;1;0;0;0
A0A5F5PJ04;1;1;1;1;1;1;1;1;1
A0A5F5PJ10;1;1;1;1;1;1;1;0;1
A0A5F5PJB5;1;1;1;1;1;0;0;0;0
A0A5F5PJH7;1;1;1;1;1;1;1;1;1
A0A5F5PJL4;1;1;1;1;1;1;1;1;1
A0A5F5PJQ9;1;1;1;1;1;1;1;1;1
A0A5F5PK58;1;1;1;1;1;1;1;1;1
A0A5F5PK83;1;1;1;1;1;1;1;1;1
A0A5F5PK95;1;1;1;1;1;1;1;1;1
A0A5F5PKB4;1;1;1;1;1;1;1;1;1
A0A5F5PKC8;1;1;1;1;1;1;1;1;1
A0A5F5PKD7;1;1;1;1;1;1;1;1;1
A0A5F5PKF3;1;1;1;1;1;1;1;1;1
A0A5F5PKH1;1;1;1;1;1;1;1;1;1
A0A5F5PKI8;1;1;1;1;1;1;1;1;1
A0A5F5PKI9;1;1;1;1;1;1;1;1;1
A0A5F5PL33;1;1;1;1;1;1;0;0;0
A0A5F5PL54;1;1;1;1;1;1;1;1;1
A0A5F5PL79;1;1;1;1;1;1;1;1;1
A0A5F5PLA1;1;1;1;1;1;1;0;1;0
A0A5F5PLF7;0;0;0;0;0;0;0;0;1
A0A5F5PLN4;1;1;1;1;1;1;1;1;1
A0A5F5PLR0;1;1;1;1;1;1;0;0;0
A0A5F5PLR4;1;1;1;1;1;1;1;1;1
A0A5F5PLV2;1;1;0;0;0;0;1;0;0
A0A5F5PM08;1;1;1;1;1;1;1;1;1
A0A5F5PM33;1;1;1;1;1;1;0;1;0
A0A5F5PM55;1;1;1;0;0;0;1;1;0
A0A5F5PM56;1;1;1;1;1;1;1;1;0
A0A5F5PM68;1;1;1;1;0;1;0;0;0
A0A5F5PM86;1;1;1;1;1;0;1;1;1
A0A5F5PMB4;1;1;1;0;1;1;1;0;0
A0A5F5PMC5;0;1;1;0;0;0;0;0;0
A0A5F5PMH1;1;1;1;1;0;0;0;0;0
A0A5F5PMH5;1;1;1;1;1;1;1;1;1
A0A5F5PMH8;1;1;1;1;1;1;1;1;1
A0A5F5PMP3;1;1;1;1;1;1;1;1;1
A0A5F5PMR4;1;1;1;1;1;1;1;1;0
A0A5F5PMT3;1;1;1;1;1;1;1;1;1
A0A5F5PN10;0;1;1;0;0;0;1;0;0
A0A5F5PN84;1;1;1;1;1;1;1;1;1
A0A5F5PND1;1;1;1;1;1;1;1;1;1
A0A5F5PNF9;1;1;1;1;1;1;1;1;1
A0A5F5PNH6;1;0;1;1;1;0;0;0;0
A0A5F5PNV1;1;1;1;1;1;1;1;1;1
A0A5F5PPB8;1;1;1;1;1;1;1;1;1
A0A5F5PPD6;1;1;1;1;1;1;1;1;1
A0A5F5PPH2;1;1;1;1;1;1;1;1;1
A0A5F5PPI3;1;1;1;1;1;1;1;1;1
A0A5F5PPL2;1;1;1;1;0;1;0;0;0
A0A5F5PPL9;1;1;1;1;0;1;0;0;0
A0A5F5PPM3;1;1;1;1;1;1;1;1;1
A0A5F5PPR0;1;0;1;1;0;0;0;0;0
A0A5F5PPX1;1;1;1;1;1;1;0;1;1
A0A5F5PQ22;1;1;1;1;1;1;0;0;1
A0A5F5PQA0;1;1;1;1;1;1;1;1;1
A0A5F5PQB1;0;0;0;0;0;0;0;0;0
A0A5F5PQE5;1;1;1;1;1;1;1;1;1
A0A5F5PQQ6;1;1;1;1;0;1;1;1;0
A0A5F5PR26;1;1;1;1;1;1;1;1;1
A0A5F5PR28;1;1;1;1;1;1;1;1;1
A0A5F5PR40;1;1;1;1;1;1;1;0;1
A0A5F5PR55;1;1;1;1;1;1;1;1;1
A0A5F5PR74;1;1;1;1;1;1;1;1;1
A0A5F5PR84;1;1;1;1;1;1;1;1;1
A0A5F5PR87;1;1;1;1;1;1;1;1;1
A0A5F5PR97;1;1;1;1;0;0;0;0;0
A0A5F5PRB1;1;1;1;1;1;1;0;0;0
A0A5F5PRD3;1;1;1;1;1;1;1;0;0
A0A5F5PRE4;1;1;1;1;1;1;1;1;1
A0A5F5PRJ1;1;1;0;1;0;0;0;0;0
A0A5F5PRK0;1;1;1;1;1;1;1;1;0
A0A5F5PRQ8;1;1;1;1;1;1;0;0;0
A0A5F5PRU7;1;1;1;1;1;1;1;1;1
A0A5F5PRV3;1;1;1;1;1;1;1;1;0
A0A5F5PRZ7;1;1;1;1;1;1;1;1;1
A0A5F5PS01;1;1;1;1;1;1;1;1;1
A0A5F5PSC8;1;1;1;1;1;1;1;1;1
A0A5F5PSE6;0;1;0;1;0;0;0;0;0
A0A5F5PSJ0;1;1;1;1;1;1;0;1;0
A0A5F5PSP3;1;1;1;1;1;1;1;1;1
A0A5F5PSR8;1;1;1;1;1;1;1;1;1
A0A5F5PST7;1;1;1;1;1;1;1;1;1
A0A5F5PT34;1;1;1;1;1;1;1;1;1
A0A5F5PTA9;1;1;1;1;1;1;1;1;1
A0A5F5PTC8;1;1;1;1;1;1;1;1;1
A0A5F5PTF0;1;1;1;1;0;1;0;0;1
A0A5F5PTF6;1;1;1;1;1;1;1;1;1
A0A5F5PTH3;1;1;1;1;1;1;1;1;1
A0A5F5PTP6;1;1;1;1;1;1;1;1;1
A0A5F5PU06;1;1;1;1;1;1;1;1;1
A0A5F5PU83;1;1;1;1;1;1;1;1;1
A0A5F5PU89;0;0;0;0;0;0;0;0;0
A0A5F5PUL3;1;1;1;1;1;1;1;1;1
A0A5F5PUN5;1;1;1;1;1;1;1;1;1
A0A5F5PUR0;1;1;1;1;1;1;1;1;1
A0A5F5PUT1;0;1;0;1;1;1;1;0;0
A0A5F5PUT8;1;1;1;1;1;1;1;1;1
A0A5F5PUY6;1;1;1;1;1;1;1;1;1
A0A5F5PUZ4;1;1;1;1;1;1;1;1;1
A0A5F5PV21;0;1;1;1;0;0;0;0;0
A0A5F5PV90;1;1;1;1;1;1;1;1;1
A0A5F5PVG5;1;1;1;1;1;1;1;0;0
A0A5F5PVV4;1;1;1;1;1;1;1;1;1
A0A5F5PVZ1;1;1;1;1;1;1;1;1;1
A0A5F5PW07;1;1;1;1;1;1;1;1;1
A0A5F5PW11;1;1;1;1;1;1;1;1;1
A0A5F5PW18;1;1;0;1;0;1;0;0;0
A0A5F5PWD5;1;1;1;1;1;1;1;1;1
A0A5F5PWK8;0;1;1;1;0;1;0;0;0
A0A5F5PWN5;1;0;1;0;0;0;0;0;0
A0A5F5PWX1;1;1;1;0;0;1;1;1;1
A0A5F5PWY1;1;1;1;1;1;1;1;1;1
A0A5F5PXG1;0;1;1;0;1;1;0;1;0
A0A5F5PXL8;0;0;0;0;0;0;0;0;0
A0A5F5PXM9;1;1;1;1;1;1;1;1;1
A0A5F5PXZ7;1;1;1;1;1;1;1;1;1
A0A5F5PY70;1;1;1;1;1;1;1;1;1
A0A5F5PY76;1;1;1;0;0;1;0;0;0
A0A5F5PYE2;1;1;1;1;0;1;0;0;1
A0A5F5PYF1;1;1;1;1;1;1;1;1;1
A0A5F5PYJ2;1;1;1;1;1;1;1;1;1
A0A5F5PYN1;1;1;1;1;1;1;1;1;1
A0A5F5PYP2;1;1;1;1;1;1;1;1;1
A0A5F5PYS6;1;1;1;1;0;1;0;1;1
A0A5F5PYS7;0;1;0;1;1;1;1;1;1
A0A5F5PYU9;1;0;1;1;1;1;1;0;1
A0A5F5PZ47;1;1;1;1;1;1;1;1;1
A0A5F5PZ70;0;0;0;1;0;0;0;0;0
A0A5F5PZ86;1;1;1;1;1;1;1;1;1
A0A5F5PZB8;1;1;1;1;1;1;1;1;1
A0A5F5PZK8;1;1;1;1;1;1;1;0;0
A0A5F5PZP2;1;1;1;1;1;1;1;0;0
A0A5F5PZS2;1;1;1;1;1;1;1;1;1
A0A5F5PZS8;1;1;1;1;1;1;1;1;0
A0A5F5PZS9;1;1;1;1;1;1;1;1;1
A0A5F5PZZ3;1;1;1;1;1;1;1;1;1
A0A5F5Q038;1;1;1;0;1;1;1;1;1
A0A5F5Q068;1;1;1;1;1;1;0;0;0
A0A5F5Q090;1;1;1;1;1;1;1;1;1
A0A5F5Q0I9;1;1;1;1;1;1;1;1;1
A0A5F5Q0V8;1;1;1;1;1;1;1;1;1
A0A5F5Q142;1;1;1;1;1;1;0;1;0
A0A5F5Q1A5;1;1;1;1;0;1;1;0;1
A0A5F5Q1G3;1;1;1;1;1;1;1;1;1
A0A5F5Q254;1;1;1;1;1;1;1;1;1
A0A5F5Q281;1;1;1;1;1;1;1;1;1
A0A5F5Q2B2;1;1;1;1;1;1;1;1;1
A0A5F5Q2J1;1;1;1;1;1;1;1;1;1
A0A5F5Q2J5;0;0;0;0;0;0;1;1;1
A0A5F5Q2U3;1;1;1;1;1;1;1;1;1
A0A5F5Q2W2;1;1;1;1;1;1;1;1;1
A0A5F5Q2Y2;1;1;1;1;1;1;1;1;1
A0A5F5Q325;1;1;1;1;1;1;1;1;1
A0A5F5Q338;0;1;1;1;0;0;1;1;1
A0A5F5Q342;1;1;1;1;1;1;1;1;1
A0A5F5Q346;1;1;1;1;1;1;0;1;0
A0A5K1UTF7;1;1;1;1;1;1;1;1;1
A0A5K1VP18;1;1;1;1;1;1;1;1;1
A1YAF7;1;1;1;1;1;1;1;1;1
A2Q126;1;1;1;1;1;1;1;1;1
A5JST8;1;1;1;1;1;1;1;1;1
A8C9U1;0;0;1;0;1;1;0;0;0
B1AB90;0;0;1;0;1;0;1;1;1
B8K1X7;1;1;1;1;1;1;1;1;1
E0AEV7;1;1;1;1;1;1;1;1;1
F6PHP6;1;1;1;1;0;1;1;1;1
F6PIW0;1;1;1;1;1;1;1;1;1
F6PJF0;1;1;1;1;1;0;0;1;0
F6PJV0;1;1;1;1;1;1;1;1;1
F6PKW7;1;1;1;1;1;1;1;0;1
F6PLJ2;1;1;1;1;1;1;1;1;1
F6PN44;1;1;1;1;1;1;1;1;1
F6PN89;1;1;1;1;1;1;1;1;1
F6PNM1;1;1;1;0;1;1;0;0;1
F6PNU9;1;1;1;1;1;1;1;1;1
F6PQ46;1;1;1;1;1;1;1;1;1
F6PQD3;1;1;1;1;1;1;1;1;1
F6PTX3;1;1;1;1;1;1;1;1;1
F6PTY9;1;1;1;1;1;1;1;1;1
F6PU05;1;1;1;1;1;1;1;1;1
F6PUX8;1;1;1;1;1;1;1;1;1
F6PV25;1;1;1;1;1;1;1;1;1
F6PV50;0;1;1;0;1;1;0;1;0
F6PVJ6;1;1;1;1;1;1;1;1;1
F6PWV8;1;1;1;1;1;1;1;1;1
F6PY00;1;1;1;1;1;1;1;1;1
F6PY78;1;1;0;1;1;1;0;0;0
F6PYH6;1;1;1;1;1;1;1;1;1
F6PYM2;1;1;1;1;1;1;1;1;1
F6PZY1;1;1;1;1;1;0;1;1;1
F6Q3I9;1;1;1;1;1;1;1;1;1
F6Q4A3;1;1;1;1;1;1;1;1;1
F6Q4Q1;1;1;1;1;1;1;1;1;1
F6Q4Z8;1;1;1;1;1;1;1;1;1
F6Q645;1;1;1;1;1;1;1;1;0
F6Q698;1;1;1;1;1;1;0;0;1
F6Q6A8;1;1;1;1;1;1;1;1;1
F6Q737;0;1;0;1;0;0;0;0;0
F6Q7V4;1;1;1;1;1;1;1;1;1
F6Q892;1;1;1;1;1;1;1;1;1
F6Q947;1;1;1;1;1;1;1;1;1
F6QAP9;1;1;1;1;1;1;0;1;0
F6QDE2;1;1;1;1;1;1;1;1;1
F6QDH0;1;1;1;1;1;1;1;1;1
F6QDR0;1;1;1;1;1;1;1;0;0
F6QF58;1;1;1;1;1;1;1;1;1
F6QFQ3;1;1;1;1;1;1;1;1;1
F6QHY2;0;1;0;0;0;0;0;0;1
F6QIV1;1;1;1;1;1;1;1;1;1
F6QKJ2;1;1;1;1;1;1;1;1;1
F6QKR7;1;1;1;1;1;1;1;1;1
F6QLC6;1;1;1;0;0;1;0;0;0
F6QQ32;1;1;1;1;1;1;1;1;1
F6QSF7;1;1;1;1;0;0;0;0;0
F6QTJ6;1;1;1;1;1;1;1;1;1
F6QUD4;1;1;1;1;1;1;1;1;1
F6QUZ2;1;1;1;1;1;1;1;0;0
F6QX36;1;1;1;1;1;1;1;1;1
F6QXN5;1;1;1;1;1;1;1;1;1
F6QXW2;1;1;1;1;1;1;1;1;1
F6QXY2;1;1;1;1;1;1;1;1;1
F6QYS3;1;1;1;1;1;1;1;1;1
F6R013;1;1;1;1;1;1;1;1;1
F6R089;1;1;1;1;0;1;1;1;1
F6R1D6;1;1;1;1;0;0;0;1;0
F6R2A1;1;1;1;1;1;1;1;1;0
F6R3Q3;1;1;1;1;1;1;1;1;1
F6R449;1;1;1;1;1;1;1;1;1
F6R4Y3;1;1;1;1;1;1;1;1;1
F6R5B2;1;1;1;1;1;1;1;1;1
F6R5V4;1;0;0;1;0;0;1;0;0
F6R7J2;1;1;1;1;1;1;1;1;1
F6R869;1;1;1;1;1;1;1;1;1
F6R8R0;1;1;1;1;1;1;1;1;1
F6RA08;1;1;1;1;1;1;1;1;1
F6RAT7;1;1;1;1;1;1;1;1;1
