;H1-1;H1-2;H1-3;H2-1;H2-2;H2-3;H3-1;H3-2;H3-3
A0A3Q2GZB6;1;1;0;1;1;1;1;1;1
A0A3Q2GZF3;1;1;1;1;1;1;1;1;1
A0A3Q2GZK6;1;1;1;1;1;1;1;1;1
A0A3Q2GZL9;1;1;1;1;1;1;1;1;1
A0A3Q2GZP6;1;1;1;1;1;1;0;0;0
A0A3Q2GZP8;1;1;1;1;1;1;1;1;0
A0A3Q2GZS0;1;1;1;1;1;1;1;1;1
A0A3Q2GZV4;1;1;1;1;1;1;1;1;1
A0A3Q2H018;1;1;1;1;1;1;1;1;1
A0A3Q2H024;1;1;1;1;1;1;1;1;1
A0A3Q2H050;1;1;1;1;0;1;1;1;0
A0A3Q2H097;1;1;1;1;1;1;1;1;1
A0A3Q2H0E3;1;1;1;1;0;0;0;0;0
A0A3Q2H0H1;1;1;0;1;1;1;0;0;0
A0A3Q2H0H3;1;1;1;1;1;1;0;0;0
A0A3Q2H0H9;0;1;1;0;1;1;0;0;0
A0A3Q2H0L0;1;1;1;1;1;1;0;0;0
A0A3Q2H0N0;1;1;1;1;1;1;1;1;1
A0A3Q2H0Y1;1;1;1;1;1;1;1;1;1
A0A3Q2H0Y6;1;1;1;1;1;1;1;1;1
A0A3Q2H146;1;1;1;1;1;1;1;1;1
A0A3Q2H151;1;1;1;1;1;1;1;1;1
A0A3Q2H195;1;1;1;1;1;1;1;1;1
A0A3Q2H1A2;1;1;1;1;1;1;1;1;1
A0A3Q2H1F2;1;1;1;1;1;1;1;1;1
A0A3Q2H1L9;1;1;1;1;1;1;1;1;1
A0A3Q2H1M8;1;1;1;1;0;0;0;0;0
A0A3Q2H1S2;1;1;1;1;1;1;1;1;1
A0A3Q2H1S6;1;1;1;1;1;1;1;1;0
A0A3Q2H1S8;1;1;1;1;1;1;1;1;1
A0A3Q2H1V4;1;1;1;1;1;1;1;1;1
A0A3Q2H1X0;0;1;1;0;0;1;0;1;0
A0A3Q2H1Y2;1;1;1;1;1;1;1;1;1
A0A3Q2H209;1;1;1;1;1;1;1;1;1
A0A3Q2H233;1;1;1;1;1;1;1;1;1
A0A3Q2H237;1;1;1;1;1;1;1;1;1
A0A3Q2H242;1;1;1;1;1;1;1;1;1
A0A3Q2H253;1;1;1;1;1;1;0;0;1
A0A3Q2H2F6;0;1;1;1;0;1;0;0;0
A0A3Q2H2I1;1;1;1;1;0;0;0;0;0
A0A3Q2H2J8;1;1;0;1;1;1;1;1;1
A0A3Q2H2K6;1;1;1;1;1;1;1;1;1
A0A3Q2H2L8;1;1;1;1;0;0;1;1;1
A0A3Q2H2Q6;1;1;1;1;1;1;0;0;0
A0A3Q2H2V1;1;1;1;1;0;1;1;0;0
A0A3Q2H2Z5;1;1;1;1;1;1;1;1;1
A0A3Q2H333;1;1;1;1;1;1;1;1;1
A0A3Q2H343;1;1;1;1;1;1;0;1;1
A0A3Q2H348;0;0;0;0;0;0;0;0;1
A0A3Q2H351;1;1;1;1;1;1;1;1;1
A0A3Q2H363;1;1;1;1;1;1;1;1;1
A0A3Q2H3F6;1;1;1;1;1;1;1;1;1
A0A3Q2H3J6;1;1;1;1;0;1;1;1;1
A0A3Q2H3L6;1;1;1;1;1;1;1;0;0
A0A3Q2H3M7;1;1;1;1;1;1;1;1;1
A0A3Q2H3R5;1;1;1;1;1;1;1;1;1
A0A3Q2H3R7;1;1;1;1;1;1;1;1;1
A0A3Q2H3T6;1;1;1;1;1;1;1;1;1
A0A3Q2H3U1;1;1;1;1;1;1;1;1;1
A0A3Q2H3W2;1;1;1;1;1;1;1;1;1
A0A3Q2H3W6;1;1;1;1;1;1;1;1;1
A0A3Q2H3Y3;1;0;1;1;1;0;0;0;0
A0A3Q2H451;1;1;1;1;1;1;1;1;1
A0A3Q2H452;1;1;1;1;1;1;1;1;1
A0A3Q2H482;1;1;1;1;1;1;1;1;1
A0A3Q2H4A7;1;1;1;1;1;1;1;1;1
A0A3Q2H4B2;1;1;1;1;1;1;1;1;1
A0A3Q2H4F5;0;0;0;0;0;0;0;0;0
A0A3Q2H4G7;1;1;1;1;1;1;1;1;1
A0A3Q2H4J4;1;1;1;1;0;0;0;0;0
A0A3Q2H4M1;1;1;1;1;1;1;1;1;1
A0A3Q2H4N8;1;1;1;1;1;1;1;1;1
A0A3Q2H4T8;1;1;1;1;1;1;1;1;1
A0A3Q2H507;0;0;0;0;0;0;0;0;0
A0A3Q2H514;1;1;1;1;1;1;1;1;1
A0A3Q2H525;1;1;1;1;1;1;1;1;1
A0A3Q2H544;1;1;1;1;1;1;1;1;1
A0A3Q2H548;1;1;1;1;1;1;1;1;1
A0A3Q2H593;1;1;1;1;1;1;1;1;1
A0A3Q2H5A0;1;1;1;1;1;1;0;0;0
A0A3Q2H5A5;1;1;1;1;1;1;1;1;1
A0A3Q2H5B0;1;1;1;1;1;1;1;1;1
A0A3Q2H5D6;1;1;1;1;1;1;1;1;1
A0A3Q2H5D7;1;1;1;1;1;1;1;1;0
A0A3Q2H5H5;1;1;1;1;1;1;1;1;1
A0A3Q2H5I9;1;1;1;1;1;1;1;1;1
A0A3Q2H5K6;1;1;1;1;1;1;1;1;1
A0A3Q2H5V3;0;0;0;0;0;0;0;0;0
A0A3Q2H5Z6;1;1;1;1;1;1;1;1;1
A0A3Q2H626;1;1;1;1;1;1;1;1;1
A0A3Q2H6E4;1;1;1;1;1;1;1;1;1
A0A3Q2H6U2;0;0;0;0;0;0;0;0;0
A0A3Q2H6Z9;1;1;1;1;1;1;1;1;1
A0A3Q2H733;1;1;1;1;1;1;1;1;1
A0A3Q2H769;1;1;1;1;1;1;1;1;1
A0A3Q2H770;1;1;1;1;1;1;1;1;1
A0A3Q2H783;1;1;1;1;1;1;1;1;1
A0A3Q2H7A7;1;1;1;1;1;1;0;0;1
A0A3Q2H7F0;1;1;1;1;1;1;1;0;1
A0A3Q2H7I8;1;1;1;1;1;1;1;1;1
A0A3Q2H7K2;1;1;1;1;1;1;1;1;1
A0A3Q2H7K4;1;1;0;1;1;1;0;0;0
A0A3Q2H7L1;1;1;1;1;1;1;1;1;1
A0A3Q2H7N6;1;1;1;1;1;1;0;0;0
A0A3Q2H7P4;1;1;1;1;1;1;1;1;1
A0A3Q2H7V7;1;1;1;1;1;1;1;1;1
A0A3Q2H810;1;1;1;1;1;1;0;1;0
A0A3Q2H821;1;1;1;1;1;1;1;1;1
A0A3Q2H843;1;1;1;1;1;1;1;1;1
A0A3Q2H857;1;1;1;1;1;1;1;1;1
A0A3Q2H867;1;1;1;1;1;1;1;1;1
A0A3Q2H884;1;1;1;1;1;1;1;1;1
A0A3Q2H892;1;1;1;1;1;1;0;0;0
A0A3Q2H8C4;0;1;1;1;1;1;1;1;1
A0A3Q2H8S8;1;1;1;1;1;1;0;1;1
A0A3Q2H8V4;1;0;0;1;1;1;1;1;0
A0A3Q2H8Y5;1;1;1;1;1;1;1;1;1
A0A3Q2H8Y8;1;1;1;1;1;1;1;1;1
A0A3Q2H908;1;1;1;1;1;1;1;1;0
A0A3Q2H9C5;1;1;1;1;1;1;1;1;1
A0A3Q2H9C6;1;1;1;1;1;1;1;0;1
A0A3Q2H9K6;1;1;1;1;1;1;1;1;1
A0A3Q2H9L5;1;1;1;1;1;1;1;1;1
A0A3Q2H9Q0;1;1;1;1;1;1;1;1;0
A0A3Q2H9Q8;1;1;1;1;1;1;1;1;1
A0A3Q2H9R1;1;1;1;1;1;1;0;0;1
A0A3Q2H9T8;1;1;1;1;1;1;1;1;0
A0A3Q2HA82;1;1;1;1;1;1;1;1;1
A0A3Q2HAG4;1;1;1;1;1;1;1;1;1
A0A3Q2HAV4;1;1;1;1;1;1;1;1;1
A0A3Q2HB09;0;1;1;1;1;1;0;0;0
A0A3Q2HB15;1;1;1;1;1;1;1;1;1
A0A3Q2HB75;1;1;1;1;0;0;0;0;0
A0A3Q2HBC0;1;1;1;1;1;1;1;1;1
A0A3Q2HBC4;1;1;1;1;1;0;1;1;1
A0A3Q2HBF9;1;1;1;1;1;1;1;1;0
A0A3Q2HBH2;1;1;1;1;1;1;1;1;1
A0A3Q2HBP1;1;1;1;1;1;1;1;1;1
A0A3Q2HBS4;1;1;1;1;1;1;1;1;1
A0A3Q2HC31;1;1;1;1;1;1;1;1;1
A0A3Q2HC57;1;1;1;1;1;1;1;1;1
A0A3Q2HC96;1;1;0;1;0;0;0;0;0
A0A3Q2HCA2;1;1;1;1;1;1;1;1;1
A0A3Q2HCA6;1;1;1;1;1;1;1;1;1
A0A3Q2HCC3;1;1;1;1;1;1;1;1;1
A0A3Q2HCD2;1;1;1;1;1;1;1;1;1
A0A3Q2HCH3;1;1;1;1;1;1;1;1;0
A0A3Q2HCI1;1;1;1;1;1;1;1;0;1
A0A3Q2HCJ9;1;1;1;1;1;1;0;1;1
A0A3Q2HCK7;1;1;1;1;1;1;1;0;0
A0A3Q2HD15;1;1;1;1;1;1;1;1;0
A0A3Q2HD35;1;1;1;1;1;1;1;1;1
A0A3Q2HD48;1;1;1;1;1;1;1;1;1
A0A3Q2HD71;1;0;1;1;1;1;0;0;0
A0A3Q2HDB9;1;1;1;1;1;1;0;0;0
A0A3Q2HDF1;1;1;1;1;0;1;1;0;0
A0A3Q2HDK9;0;1;0;0;0;0;1;1;1
A0A3Q2HDP8;1;1;1;1;1;1;1;1;0
A0A3Q2HE09;0;1;0;0;1;0;0;0;0
A0A3Q2HE38;1;1;1;1;1;1;0;0;0
A0A3Q2HEA5;1;1;1;1;1;1;0;1;0
A0A3Q2HED0;1;1;1;1;1;1;1;1;1
A0A3Q2HEG2;1;1;1;1;1;1;1;1;1
A0A3Q2HEJ0;1;0;1;0;0;1;0;0;0
A0A3Q2HEQ4;1;1;1;1;1;1;1;0;1
A0A3Q2HEZ1;1;1;1;1;1;1;1;1;0
A0A3Q2HFD7;1;1;1;1;1;0;0;0;0
A0A3Q2HFE7;1;1;1;1;1;1;1;1;1
A0A3Q2HFG8;1;1;1;1;1;1;1;1;1
A0A3Q2HFL4;0;0;0;0;0;0;0;0;0
A0A3Q2HFT4;1;1;1;1;1;1;1;1;1
A0A3Q2HFV0;1;1;1;1;1;1;1;1;1
A0A3Q2HFX7;1;1;1;1;1;1;1;1;0
A0A3Q2HG20;1;1;1;1;1;1;1;1;0
A0A3Q2HGA9;0;0;0;1;1;0;1;1;1
A0A3Q2HGB8;1;1;1;1;1;1;1;1;1
A0A3Q2HGL1;1;0;0;0;0;0;0;0;0
A0A3Q2HGM8;1;1;1;1;1;1;1;1;1
A0A3Q2HGR1;0;0;0;0;1;0;1;1;1
A0A3Q2HGS6;1;1;1;1;1;0;0;0;0
A0A3Q2HGV6;1;1;1;1;1;1;1;1;1
A0A3Q2HGW0;1;1;1;1;1;1;1;1;1
A0A3Q2HGX2;1;1;1;1;1;1;1;1;0
A0A3Q2HH68;1;1;1;1;1;1;1;1;1
A0A3Q2HH77;1;1;1;1;1;0;1;1;1
A0A3Q2HHA9;1;1;1;1;1;1;1;1;1
A0A3Q2HHB0;1;1;1;1;1;1;1;1;1
A0A3Q2HHG3;1;1;1;1;1;1;1;1;1
A0A3Q2HHG9;1;1;1;1;1;1;1;1;1
A0A3Q2HHJ1;1;1;1;1;1;0;1;1;0
A0A3Q2HHM8;1;1;1;1;1;1;1;1;1
A0A3Q2HHZ0;1;1;1;1;1;1;1;1;1
A0A3Q2HHZ2;1;1;1;1;1;1;1;1;1
A0A3Q2HI02;1;1;1;1;1;1;1;1;1
A0A3Q2HI11;1;1;0;1;0;0;0;0;0
A0A3Q2HI21;1;1;1;1;1;1;1;1;1
A0A3Q2HI48;1;1;1;1;0;0;0;1;1
A0A3Q2HI57;1;1;1;1;1;1;1;1;1
A0A3Q2HIC5;1;1;1;1;1;1;1;0;1
A0A3Q2HID2;1;1;1;1;1;1;1;1;1
A0A3Q2HIE9;1;1;1;1;1;1;1;1;1
