;P7 VLU heel;P8 VLU heel;P9 VLU heel;P10 VLU heel;P11 VLU heel;P12 VLU heel 
P55072164191;0;0;0;0;0;1
P55072457465;0;1;0;0;0;0
P55072469487;0;0;1;0;0;0
P55072573586;0;0;1;0;0;0
P55081349358;0;1;0;0;0;0
P55084218229;0;0;0;0;0;1
P55263234249P55263234249;0;0;0;0;0;1
P55263239249;0;0;0;1;0;0
P5526812801302;0;1;0;0;0;0
P5526813271334;0;0;0;0;0;1
P5526817561764;0;1;0;0;0;0
P55786201210;0;0;0;0;0;1
P55795132150;0;1;0;0;0;0
P5579587114;0;1;0;0;0;0
P55809116124;0;0;0;0;0;1
P561591926;1;0;0;0;0;0
P5810715001514P5810715001514;0;0;1;0;0;0
P58107489504;0;0;1;0;0;0
P596654661;0;0;0;0;0;1
P596654961;0;0;0;0;0;1
P601748899;1;0;0;0;0;0
P60842342353Q14240343354;0;0;0;0;0;1
P608425161P389195767Q142405262;0;0;0;0;0;1
P609834664;0;1;0;0;0;0
P61019106126;0;0;0;0;0;1
P61077108125;0;0;0;0;0;1
P61088113141;0;1;0;0;0;0
P61158350357;0;0;0;0;0;1
P61163282291;0;0;0;0;0;1
P611635866P420255866;0;1;0;0;0;0
P612245268P628345268;1;0;0;0;0;0
P616266978;0;0;0;1;0;0
P6176984101;0;1;0;0;0;0
P619782735;0;0;0;0;0;1
P619813442;0;0;0;0;0;1
P62241104110;0;0;0;0;0;1
P62244820;0;1;0;0;0;0
P62258178190;0;0;1;0;0;0
P622637784;0;1;0;0;0;0
P6226996108;0;1;0;0;0;0
P623182129;0;0;0;0;0;1
P62424205223;0;1;0;0;0;0
P62701176191;0;0;0;0;0;1
P62826189216;0;0;1;0;0;0
P628572131;0;0;0;0;0;1
P62873287304;0;1;0;0;0;0
P628733142;0;1;0;0;0;0
P628738696P628798696;0;1;0;0;0;0
P62906111122;0;1;0;0;0;0
P629132332;0;0;0;0;0;1
P62993126136;0;0;0;0;0;1
P62993165178;0;1;0;0;0;0
P62993821;0;0;0;0;0;1
P63151245252;0;1;0;0;0;0
P632205460;0;1;0;0;0;0
P63241626;0;1;0;0;0;0
P6324190109;0;1;0;0;0;0
P6324193109;1;0;0;0;0;0
P63267155178P62736156179P68133156179P68032156179;0;0;0;0;0;1
P63267229255P60709228254P62736230256P68133230256P68032230256P63261228254;0;1;0;0;0;0
P63267281313P62736282314P68032282314;0;1;0;0;0;0
P63267364373P62736365374P68133365374P68032365374;0;0;0;0;1;0
P632674162P607094061P627364263P681334263P680324263P632614061;1;0;0;0;0;0
P632678196P627368297;0;0;1;0;0;0
P633132840;1;0;0;0;0;0
P67936114124P06753151161;0;0;0;1;0;0
P68036109122;1;0;0;0;0;0
P68036112122;0;0;0;0;0;1
P680363652;0;1;0;0;0;0
P68104396423;1;0;0;0;0;0
P68133355374;0;1;0;0;0;0
P68871118147;0;1;0;0;0;0
P78371449466;0;0;1;0;0;0
P7850914771491;0;1;0;0;0;0
P78559964983;1;0;0;0;0;0
P83110264279;0;1;0;0;0;0
P8311163102;0;1;0;0;0;0
P84157156167;0;1;0;0;0;0
P84157160167;0;1;0;0;0;0
P98082237251;0;1;0;0;0;0
P98082367376;0;1;0;0;0;0
P9816010791090;0;1;0;0;0;0
P9816011051133;0;0;0;0;0;1
P9816015031523;0;1;0;0;0;0
P9816015071523;1;0;0;0;0;0
P9816030063018;0;1;0;0;0;0
P9816035713585;0;0;0;0;0;1
P9816037983821;0;1;0;0;0;0
P98160581587;0;1;0;0;0;0
P98160665679;0;1;0;0;0;0
P98160699724;0;1;0;0;0;0
Q00059201210;0;1;0;0;0;0
Q0034111261137;0;0;1;0;0;0
Q00341271283;0;1;0;0;0;0
Q00577157164;0;1;0;0;0;0
Q0061010861094;0;0;0;0;0;1
Q00839294303;0;1;0;0;0;0
Q00839458484;0;0;1;0;0;0
Q008395869;0;1;0;0;0;0
Q0108211151122;0;1;0;0;0;0
Q0108214211432;0;0;0;0;1;0
Q0108216731690;1;0;0;0;0;0
Q01082961972;0;0;0;0;0;1
Q01546347367;0;0;1;0;0;0
Q016283449;0;0;0;0;0;1
Q02218772797;0;0;0;1;0;0
Q023183051;0;0;0;0;0;1
Q0238811451153;0;0;0;0;0;1
Q02388270280;0;0;0;0;0;1
Q023884351;0;0;0;0;0;1
Q02388870878;0;0;1;0;0;0
Q02388945951;0;0;0;0;0;1
Q02413275291;1;0;0;0;0;0
Q02413879887;0;0;0;0;0;1
Q02487876892;0;1;0;0;0;0
Q02543144157;0;0;1;0;0;0
Q02750276291;0;1;0;0;0;0
Q027905873;0;1;0;0;0;0
Q02952645671;0;1;0;0;0;0
Q02952850857;0;0;0;0;0;1
Q03167343350;0;0;0;1;0;0
Q03252533561;0;1;0;0;0;0
Q0325297104;0;1;0;0;0;0
Q04695130163;1;0;0;0;0;0
Q04695223251;0;0;0;1;0;0
Q046956794;0;0;0;1;0;0
Q04917202227P61981202227;0;0;0;0;0;1
Q05682170178;1;0;0;0;0;0
Q05682230244;0;0;0;0;0;1
Q05682236244;1;0;0;0;0;0
Q05682564572;0;1;0;0;0;0
Q05682620635;0;0;0;0;1;0
Q05707103116;0;1;0;0;0;0
Q0570712621275;1;0;0;0;0;0
Q0570713321350;0;0;0;0;1;0
Q05707316332;0;0;1;0;0;0
Q05707605641;0;0;1;0;0;0
Q05707630641;0;1;0;0;0;0
Q05707805836;0;0;0;0;0;1
Q07065400412;0;1;0;0;0;0
Q07283631642;0;1;0;0;0;0
Q07283891900;0;1;0;0;0;0
Q07507104118;0;0;0;0;0;1
Q075072843;0;1;0;0;0;0
Q0795413831390;0;1;0;0;0;0
Q0795414031412;0;1;0;0;0;0
Q082114463;0;1;0;0;0;0
Q08380443454;0;1;0;0;0;0
Q08431324337;0;1;0;0;0;0
Q0843196107;0;1;0;0;0;0
Q08554270278;0;0;0;0;0;1
Q08554418428;0;0;0;0;0;1
Q08AF3547569;0;1;0;0;0;0
Q08J23439450;0;0;0;0;0;1
Q096661628;0;0;0;0;1;0
Q09666193207;1;0;0;0;0;0
Q127693643;0;0;0;0;0;1
Q12792286293;0;0;0;0;0;1
Q12904137154;0;0;1;0;0;0
Q12904176187;0;0;0;0;0;1
Q12905260269Q12905260269;0;0;0;0;0;1
Q129053643;0;0;0;0;0;1
Q12906170177;0;0;1;0;0;0
Q12929253265;0;1;0;0;0;0
Q12972204221;0;1;0;0;0;0
Q131311121;0;0;0;0;0;1
Q131482942;0;0;0;0;0;1
Q131511124;0;0;0;0;0;1
Q13200834845;0;1;0;0;0;0
Q1320110321047;0;0;1;0;0;0
Q13201645660;0;0;1;0;0;0
Q13228407419;0;1;0;0;0;0
Q132832132;0;0;0;0;0;1
Q133086577;0;0;0;0;0;1
Q13347292310;1;0;0;0;0;0
Q13347301310;0;0;0;0;0;1
Q13418308317;0;1;0;0;0;0
Q13425173185;1;0;0;0;0;0
Q1344299109;0;1;0;0;0;0
Q13485527;0;0;0;0;0;1
Q13510143159;0;0;1;0;0;0
Q13554289297;0;0;0;0;1;0
Q13557438453;0;1;0;0;0;0
Q13586616634;1;0;0;0;0;0
Q13733758772P05023752766;0;0;0;0;0;1
Q137403644;0;1;0;0;0;0
Q137519891006;0;0;0;1;0;0
Q137656071;0;0;0;1;0;0
Q1381316231632;0;1;0;0;0;0
Q1381323622382;0;1;0;0;0;0
Q13813328336;0;1;0;0;0;0
Q13813374402;0;0;0;0;0;1
Q13813570580;0;1;0;0;0;0
Q13813830839;0;1;0;0;0;0
Q13813974984;0;0;0;0;0;1
Q13813977984;0;0;0;1;0;0
Q13822183193;0;1;0;0;0;0
Q13835221230;0;1;0;0;0;0
Q13835368378;0;0;1;0;0;0
Q13835617624;0;0;0;1;0;0
Q13835709722;0;1;0;0;0;0
Q138357285;0;0;0;0;0;1
Q138357985;0;0;0;0;0;1
Q13867416426;0;0;0;0;0;1
Q138851546Q9BVA11546;0;0;0;0;0;1
Q1388582121P0743782121P6837182121Q9BVA182121;0;0;0;0;0;1
Q13938134153;1;0;0;0;0;0
Q14112671683;0;1;0;0;0;0
Q14134113128;0;0;1;0;0;0
Q1413494103;0;0;0;0;0;1
Q141571237;1;0;0;0;0;0
Q14195432440;0;1;0;0;0;0
Q14195500520;0;1;0;0;0;0
Q14247355367;0;0;1;0;0;0
Q14247438;1;0;0;0;0;0
Q142477394;1;0;0;0;0;0
Q1431513301341;0;0;0;0;0;1
Q1431517921803;0;1;0;0;0;0
Q1431520302045;0;1;0;0;0;0
Q1431523882409;1;0;0;0;0;0
Q14315355361;0;0;0;1;0;0
Q14332172191;0;0;0;0;0;1
Q14344154164;0;1;0;0;0;0
Q14353190203;0;1;0;0;0;0
Q14498202217;0;0;0;0;0;1
Q14574361375;0;0;1;0;0;0
Q14574522535;0;0;1;0;0;0
Q14624424438Q14624424438;0;1;0;0;0;0
Q14624669687;0;0;1;0;0;0
Q14697868891;0;1;0;0;0;0
Q14761125146;1;0;0;0;0;0
Q14764589597;0;0;0;0;0;1
Q14764661679;0;1;0;0;0;0
Q14767249259;0;0;1;0;0;0
Q1483912501256;0;0;1;0;0;0
Q14847134144;0;1;0;0;0;0
Q14938384390;0;1;0;0;0;0
Q1498015131523;0;0;0;0;0;1
Q1498016221636;0;1;0;0;0;0
Q14980426435;0;1;0;0;0;0
Q14980839846;0;1;0;0;0;0
Q14980870883;0;0;0;0;0;1
Q150181633;0;1;0;0;0;0
Q15019346361;0;1;0;0;0;0
Q1505690109;1;0;0;0;0;0
Q15057560573;0;1;0;0;0;0
Q15057599612;0;1;0;0;0;0
Q15063135151;0;0;0;0;0;1
Q15063467481;0;0;0;0;0;1
Q15067469490;0;0;1;0;0;0
Q15075653662;0;1;0;0;0;0
Q15084270289;0;1;0;0;0;0
Q15084428440;1;0;0;0;0;0
Q15113199214;0;0;0;0;0;1
Q15113206214;0;1;0;0;0;0
Q15113300323;0;1;0;0;0;0
Q1514919942002;0;0;0;0;0;1
Q1514920592068;0;0;0;0;0;1
Q1514922982316;1;0;0;0;0;0
Q1514924702481;0;1;0;0;0;0
Q1514926332642;0;1;0;0;0;0
Q1514927712787;0;1;0;0;0;0
Q1514946164627;0;0;0;0;0;1
Q15181248260;0;1;0;0;0;0
Q1536690101Q1536590101;0;0;0;0;0;1
Q15393990999;0;0;0;0;0;1
Q154172533;0;1;0;0;0;0
Q154273448;0;0;0;0;0;1
Q15517185216;0;0;0;0;1;0
Q15555258265;0;0;0;0;0;1
Q15599296314;0;1;0;0;0;0
Q156372846;0;1;0;0;0;0
Q15642106113;0;1;0;0;0;0
Q15661135168;0;0;0;1;0;0
Q15661245259;0;0;0;0;0;1
Q1574613901403;0;1;0;0;0;0
Q1574617711795;0;0;0;1;0;0
Q158141320;0;0;0;0;0;1
Q16204321335;0;1;0;0;0;0
Q1636310201037;0;1;0;0;0;0
Q1636311711186;0;0;0;0;0;1
Q1636312261235;0;0;0;0;0;1
Q16539308330;0;0;0;0;0;1
Q16610156163;0;0;0;0;0;1
Q16610206219;1;0;0;0;0;0
Q16666410427;0;0;0;1;0;0
Q16666739751;0;0;0;0;0;1
Q167405768;0;1;0;0;0;0
Q167784273O608144273;0;0;0;0;0;1
Q1678727162724;0;1;0;0;0;0
Q16798265289;0;0;0;1;0;0
Q16891446457;0;1;0;0;0;0
Q1KMD3388397;0;0;0;1;0;0
Q1KMD3429439;0;1;0;0;0;0
Q1KMD3605630;0;1;0;0;0;0
Q2LD3731793190;0;0;1;0;0;0
Q2M1V099112;1;0;0;0;0;0
Q2QD125058Q96AT95058;1;0;0;0;0;0
Q2UY09158179;0;1;0;0;0;0
Q2UY09191200;0;1;0;0;0;0
Q32MZ4672690;0;1;0;0;0;0
Q3YEC7717;0;0;0;1;0;0
Q3ZCQ895113;0;0;0;0;1;0
Q3ZCW21435;0;0;0;0;0;1
Q4G1C9248260;0;0;0;0;0;1
Q4V9L6189198;0;0;0;1;0;0
Q4ZHG4743760;0;0;0;1;0;0
Q4ZHG4949974;0;0;0;1;0;0
Q53GG55368;1;0;0;0;0;0
Q53RT37784;0;0;1;0;0;0
Q53TN4253271;0;0;0;0;1;0
Q562E7359368;0;0;0;0;1;0
Q58WW2273288;0;1;0;0;0;0
Q5D862116130;1;0;0;0;0;0
Q5D862122130;0;0;0;0;0;1
Q5D86217541766;0;0;0;0;0;1
Q5D862318353;0;0;0;0;0;1
Q5D862340353;0;0;0;0;0;1
Q5D862811839;0;1;0;0;0;0
Q5JRA6389398;0;0;0;0;0;1
Q5JTD7819;0;0;0;1;0;0
Q5SSJ5140146;0;1;0;0;0;0
Q5SVQ8570585;0;0;0;0;1;0
Q5T5P211461158;0;0;0;0;0;1
Q5TBA915471561;0;1;0;0;0;0
Q5TDH0111139;0;0;1;0;0;0
Q63HR212811297;0;1;0;0;0;0
Q6E0U4130148;0;0;0;0;0;1
Q6E0U49098;0;0;0;1;0;0
Q6FI81122132;0;1;0;0;0;0
Q6IBS0164188;0;0;0;1;0;0
Q6NXS11933;1;0;0;0;0;0
Q6NZI26978;0;0;0;0;0;1
Q6P2E9708726;0;1;0;0;0;0
Q6P4Q7348369;0;0;0;0;0;1
Q6PKG0492508;0;1;0;0;0;0
Q6UVK110651080;0;1;0;0;0;0
Q6UVK118951903;0;0;0;0;0;1
Q6UWP8387403;1;0;0;0;0;0
Q6UWY52638;0;0;0;0;1;0
Q6UWY57891;0;0;0;0;0;1
Q6UX718190;0;0;0;1;0;0
Q6UXB8102110;0;1;0;0;0;0
Q6UXB891110;0;1;0;0;0;0
Q6YHK311951202;0;1;0;0;0;0
Q6ZRS4353360;0;0;0;0;0;1
Q6ZVM7405420;1;0;0;0;0;0
Q70UQ01423;0;0;0;1;0;0
Q71U36196214Q9BQE3196214P68366196214Q71U36196214Q9BQE3196214P68366196214;0;1;0;0;0;0
Q71U36283308P68366283308Q71U36283308P68366283308;0;1;0;0;0;0
Q71U36426451;0;1;0;0;0;0
Q71U3693105Q9BQE393105P6836693105;0;1;0;0;0;0
Q71UI96881P0C0S56881;0;1;0;0;0;0
Q71UI98292P0C0S58292;0;1;0;0;0;0
Q76KP1511529;0;0;0;0;0;1
Q7KZF4879889;0;1;0;0;0;0
Q7KZF498107;0;0;0;0;0;1
Q7L5N1189197;0;1;0;0;0;0
Q7L7X3450461;0;0;0;1;0;0
Q7L7X3655665;0;0;1;0;0;0
Q7LBC611621187;0;1;0;0;0;0
Q7RTY7430445;0;0;0;1;0;0
Q7Z304635644;0;0;0;1;0;0
Q7Z3B18090;0;1;0;0;0;0
Q7Z3Y77896;0;0;0;1;0;0
Q7Z3Y8180195;0;0;0;1;0;0
Q7Z3Y85594;0;0;1;0;0;0
Q7Z3Y86094;1;0;0;0;0;0
Q7Z4221121;0;1;0;0;0;0
Q7Z4V5485495;0;0;0;0;0;1
Q7Z5L73370Q7Z5L73370;0;0;0;1;0;0
Q7Z5L7405415;1;0;0;0;0;0
Q7Z6K53846;0;1;0;0;0;0
Q7Z6Z726252650;0;0;0;0;0;1
Q7Z6Z737943804;0;1;0;0;0;0
Q7Z794273288;0;0;0;0;0;1
Q7Z7G0224245;0;0;0;1;0;0
Q7Z7G0916936;0;0;0;0;0;1
Q86TX2290313;0;1;0;0;0;0
Q86U42182200;0;1;0;0;0;0
Q86UP2103112;0;1;0;0;0;0
Q86UP211831191;0;0;0;0;0;1
Q86UX299114;0;1;0;0;0;0
Q86UX7337357;0;0;1;0;0;0
Q86WV6315331;0;1;0;0;0;0
Q86XP3120129;0;1;0;0;0;0
Q86Y46360384;0;0;1;0;0;0
Q86YZ3115111801621165025612590;0;0;0;0;0;1
Q86YZ31812183222822302;0;0;0;0;0;1
Q86YZ39921011146214811932195124022421;0;0;0;1;0;0
Q8IUX7207218;0;1;0;0;0;0
Q8IVF246744682;0;1;0;0;0;0
Q8IVF279580716201632261026222775278740954107;1;0;0;0;0;0
Q8IVL6649663;0;1;0;0;0;0
Q8IW03121128;0;0;0;0;1;0
Q8IXS6412;1;0;0;0;0;0
Q8N1376577;0;1;0;0;0;0
Q8N163626636;0;0;0;0;0;1
Q8N4C619771991;0;0;0;0;1;0
Q8N4C8599608;0;0;0;0;0;1
Q8N6G612681277;0;1;0;0;0;0
Q8N987289298;0;1;0;0;0;0
Q8NC51328345;1;0;0;0;0;0
Q8NC515371;0;0;0;1;0;0
Q8NDI1852861;0;0;0;0;0;1
Q8NE71365382;0;0;0;0;0;1
Q8NFC616811698;0;0;0;0;0;1
Q8TCV54459;0;0;0;0;0;1
Q8TDZ2237248;0;0;1;0;0;0
Q8TE77620640;0;0;0;1;0;0
Q8TF46536553;0;1;0;0;0;0
Q8WTS6306312;0;1;0;0;0;0
Q8WU90296313;0;1;0;0;0;0
Q8WUF5219235;0;1;0;0;0;0
Q8WUF55169;0;1;0;0;0;0
Q8WUM0546559;0;0;0;0;0;1
Q8WUM4585606;0;0;1;0;0;0
Q8WUY3550573;0;1;0;0;0;0
Q8WWM7157165;0;1;0;0;0;0
Q8WWM7278290;1;0;0;0;0;0
Q8WWM7421443;0;0;0;0;0;1
Q8WXC64557;0;1;0;0;0;0
Q8WXD52248;0;0;1;0;0;0
Q8WXF1177192;0;1;0;0;0;0
Q8WYQ374107;0;0;0;0;0;1
Q8WZ421365313662;0;0;0;1;0;0
Q9261910021021;0;0;0;0;0;1
Q92841494505;0;1;0;0;0;0
Q92878737751Q92878737751;0;0;1;0;0;0
Q92900570577;0;1;0;0;0;0
Q93008936947;0;1;0;0;0;0
Q93052100113;1;0;0;0;0;0
Q93052245268;0;0;0;0;0;1
Q969H8124130;0;0;0;0;0;1
Q969R24062;0;0;1;0;0;0
Q96A33228236;0;0;0;0;0;1
Q96AT12937;1;0;0;0;0;0
Q96B97592613;0;1;0;0;0;0
Q96BJ3130151;0;1;0;0;0;0
Q96BP3480489;0;1;0;0;0;0
Q96C19195206;0;0;0;0;0;1
Q96CT7155163;0;0;0;0;1;0
Q96CX2120127;0;1;0;0;0;0
Q96CX2160184;1;0;0;0;0;0
Q96D15153167;0;0;0;1;0;0
Q96D15189201;0;0;0;0;0;1
Q96D154162;0;0;1;0;0;0
Q96D71637669;1;0;0;0;0;0
Q96EH36170;0;0;0;0;0;1
Q96HC4214225;0;1;0;0;0;0
Q96HF12637;0;0;0;0;0;1
Q96I241425;0;1;0;0;0;0
Q96JB5326336;0;0;0;1;0;0
Q96JY6161169;0;0;0;1;0;0
Q96JY6246254;0;1;0;0;0;0
Q96KP4417453;0;0;1;0;0;0
Q96KP498121;0;0;1;0;0;0
Q96L466880;0;0;0;0;0;1
Q96L467079;0;0;0;1;0;0
Q96M27303312;0;0;0;0;0;1
Q96P63139155;0;1;0;0;0;0
Q96PD5125135;0;1;0;0;0;0
Q96PD5224233;0;1;0;0;0;0
Q96PD5487497;0;1;0;0;0;0
Q96PK6186203;0;1;0;0;0;0
Q96PK6204212;0;0;0;0;1;0
Q96PU85868;0;0;0;0;0;1
Q96Q0612991315;0;1;0;0;0;0
Q96QR895116;0;0;0;0;0;1
Q96QU116411657;0;0;1;0;0;0
Q96RF0496512;0;0;1;0;0;0
Q96S86123137;1;0;0;0;0;0
Q96T5187102;0;0;0;0;0;1
Q96TA1277286;0;1;0;0;0;0
Q99459666676;0;1;0;0;0;0
Q994973948;0;1;0;0;0;0
Q99538206213;0;0;0;0;0;1
Q99623149157;0;1;0;0;0;0
Q996274554;0;1;0;0;0;0
Q996433140;0;0;0;0;0;1
Q9971517211742;0;0;0;0;0;1
Q9971518731897;0;1;0;0;0;0
Q9971520462056;0;1;0;0;0;0
Q9971525352554;0;0;0;0;0;1
Q9971525952602;0;0;0;0;0;1
Q9971529132922;0;0;0;0;0;1
Q99715377392;0;0;0;0;1;0
Q997159771013;0;0;0;0;0;1
Q99729299321;0;1;0;0;0;0
Q9972993108;0;1;0;0;0;0
Q99784150162;0;1;0;0;0;0
Q99816357364;0;0;0;0;0;1
Q99832489499;0;0;0;1;0;0
Q99848111122;0;0;0;0;0;1
Q9BQE3377390;0;0;0;0;0;1
Q9BQS8219236;0;1;0;0;0;0
Q9BR76284293;0;1;0;0;0;0
Q9BSH45867;0;0;1;0;0;0
Q9BSJ8935955;0;0;0;0;1;0
Q9BTV4244266;0;1;0;0;0;0
Q9BTZ2255277;0;0;0;0;0;1
Q9BU40355362;0;1;0;0;0;0
Q9BUF55262;0;0;0;0;0;1
Q9BUJ2111126;0;1;0;0;0;0
Q9BUJ2217226;0;1;0;0;0;0
Q9BVC4279295;0;1;0;0;0;0
Q9BW30815;0;1;0;0;0;0
Q9BW91100109;0;1;0;0;0;0
Q9BW922030;0;0;0;0;0;1
Q9BWU05686;0;0;1;0;0;0
Q9BX66655663;0;0;0;0;0;1
Q9BX668194;1;0;0;0;0;0
Q9BXN1245263;0;0;1;0;0;0
Q9BXN1317326;0;0;1;0;0;0
Q9BXN189105;1;0;0;0;0;0
Q9BXX0369377;0;1;0;0;0;0
Q9BY44506520;1;0;0;0;0;0
Q9BYL14857;0;0;0;0;0;1
Q9BZF9281291;1;0;0;0;0;0
Q9BZQ8641659;0;0;0;0;1;0
Q9BZV1182195;0;1;0;0;0;0
Q9BZZ58197;0;0;0;0;0;1
Q9C0C210911098;0;1;0;0;0;0
Q9C0C214151442;0;0;0;0;0;1
Q9C0C2796823;0;1;0;0;0;0
Q9C0C2969975;0;0;1;0;0;0
Q9GZM7382393;0;0;0;0;0;1
Q9H098102119;0;1;0;0;0;0
Q9H0B3792802;0;0;0;0;0;1
Q9H1Z4126146;0;0;0;0;0;1
Q9H2993947;0;0;0;0;0;1
Q9H2U23240;1;0;0;0;0;0
Q9H3Q1138165;0;1;0;0;0;0
Q9H3Q1265297;0;0;0;0;0;1
Q9H3Q1344355;0;1;0;0;0;0
Q9H4M93041;0;1;0;0;0;0
Q9H4M998119;0;0;0;0;0;1
Q9H5I526082620;1;0;0;0;0;0
Q9H6S3441453;0;1;0;0;0;0
Q9H6S3515526;0;1;0;0;0;0
Q9H6S3627634;0;0;0;0;0;1
Q9H7E9187198;0;1;0;0;0;0
Q9H7P9680709;0;0;0;0;0;1
Q9HBL0415438;0;0;1;0;0;0
Q9HBL0610618;0;0;0;0;0;1
Q9HBL0745754;0;0;0;0;0;1
Q9HBL0764771;0;0;0;0;1;0
Q9HBL0764781;0;1;0;0;0;0
Q9HBL0954970;0;1;0;0;0;0
Q9HC35181192;0;0;0;0;0;1
Q9HC35523;0;1;0;0;0;0
Q9HCE1772787;0;0;1;0;0;0
Q9HCF6304310;0;1;0;0;0;0
Q9HCU0115130;0;0;0;0;0;1
Q9NPD3108118;0;1;0;0;0;0
Q9NQ38219233;0;0;1;0;0;0
Q9NQ38975997;0;0;0;0;0;1
Q9NQ79199220;0;1;0;0;0;0
Q9NQR4127147;0;1;0;0;0;0
Q9NQY0178185;0;0;1;0;0;0
Q9NR12179195;0;1;0;0;0;0
Q9NR12204233;0;0;0;1;0;0
Q9NR317283;0;1;0;0;0;0
Q9NR99749762;1;0;0;0;0;0
Q9NTI514141438;0;0;0;0;1;0
Q9NTK55563;0;1;0;0;0;0
Q9NU2240084020;0;0;1;0;0;0
Q9NUL3178187;1;0;0;0;0;0
Q9NUQ6452468;0;1;0;0;0;0
Q9NUQ94457;0;0;0;0;0;1
Q9NV70857867;0;0;1;0;0;0
Q9NVA2235253;0;1;0;0;0;0
Q9NVM1114121;1;0;0;0;0;0
Q9NVT9922;0;1;0;0;0;0
Q9NVV4428445;0;0;0;1;0;0
Q9NWU1306326;0;1;0;0;0;0
Q9NX2492101;0;0;0;0;0;1
Q9NX464153;0;0;0;1;0;0
Q9NX62218229;0;0;0;0;0;1
Q9NY1525522565;0;1;0;0;0;0
Q9NYF8557569;0;1;0;0;0;0
Q9NYL9165192;0;1;0;0;0;0
Q9NYL9170192;0;0;0;1;0;0
Q9NYL9173192;0;0;1;0;0;0
Q9NYL9319328;0;1;0;0;0;0
Q9NYL95266;0;1;0;0;0;0
Q9NYU2200212;0;0;0;0;0;1
Q9NZB210561072;0;1;0;0;0;0
Q9NZM18997;0;1;0;0;0;0
Q9NZN41219;0;0;0;0;0;1
Q9NZN4147164;0;1;0;0;0;0
Q9NZN4150164;0;0;0;0;0;1
Q9NZN42330;1;0;0;0;0;0
Q9NZT1125133;0;0;0;0;0;1
Q9NZU5134153;0;1;0;0;0;0
Q9NZZ31227;0;0;0;0;1;0
Q9P0G3113122;0;0;0;0;0;1
Q9P0V92435;0;0;0;0;0;1
Q9P0V94459;0;1;0;0;0;0
Q9P2E3406415;0;1;0;0;0;0
Q9P2E9701724;0;0;1;0;0;0
Q9P2R3756768;0;0;0;0;0;1
Q9UBG012231230;0;1;0;0;0;0
Q9UBG0320339;0;1;0;0;0;0
Q9UBQ78296;0;1;0;0;0;0
Q9UBT2194210;0;1;0;0;0;0
Q9UD7185112;0;0;0;0;0;1
Q9UDY2952963;0;0;0;0;0;1
Q9UEY8623645;0;0;0;1;0;0
Q9UHB6466485;0;0;0;0;0;1
Q9UHB6619629;0;0;0;0;1;0
Q9UHB6733748;1;0;0;0;0;0
Q9UHD8446454;0;0;0;0;0;1
Q9UHL4226240;0;0;0;1;0;0
Q9UIJ73243;0;0;0;0;0;1
Q9UJ72103119;1;0;0;0;0;0
Q9UJU6180190;0;1;0;0;0;0
Q9UJU6286299;0;1;0;0;0;0
Q9UJU6344377;0;1;0;0;0;0
Q9UJY5513;0;0;0;0;0;1
Q9UK457077Q9UK457077;0;0;0;0;0;1
Q9UK971224;0;0;0;0;0;1
Q9UKF6394407;0;1;0;0;0;0
Q9UKK93744;0;0;0;0;0;1
Q9UKV312261241;0;0;0;0;0;1
Q9UKV3510524;0;0;1;0;0;0
Q9UKY7144175;0;0;0;0;0;1
Q9UKY7191208;0;1;0;0;0;0
Q9UL153144;0;1;0;0;0;0
Q9UL46161171;0;0;0;0;0;1
Q9UL464461;0;1;0;0;0;0
Q9ULA099111;0;1;0;0;0;0
Q9ULM0335344;0;0;0;0;0;1
Q9UMD91017;1;0;0;0;0;0
Q9UMD910181028;0;1;0;0;0;0
Q9UMD910221028;0;0;0;0;0;1
Q9UMR24156;0;0;0;0;0;1
Q9UMS4101115;0;1;0;0;0;0
Q9UMS6841871;1;0;0;0;0;0
Q9UMX57484;0;0;0;0;0;1
Q9UNF0420430;0;1;0;0;0;0
Q9UNH787104;0;1;0;0;0;0
Q9UNM6231247;0;0;0;0;0;1
Q9UNZ2269301;0;1;0;0;0;0
Q9UPY8717;0;0;0;1;0;0
Q9UQ80374394;1;0;0;0;0;0
Q9UQ80377394;0;1;0;0;0;0
Q9UQC9709727;0;0;0;0;0;1
Q9Y2622438;0;1;0;0;0;0
Q9Y2813945;0;0;0;0;0;1
Q9Y2D5338348;0;0;0;0;0;1
Q9Y2D5468481;0;0;0;0;1;0
Q9Y2D5522536;0;0;0;0;1;0
Q9Y2D5718727;0;0;0;0;0;1
Q9Y2H1383392;0;1;0;0;0;0
Q9Y2S23643;0;1;0;0;0;0
Q9Y2T2150168;0;0;0;0;1;0
Q9Y2U8140151;0;1;0;0;0;0
Q9Y3C195113;0;0;0;0;0;1
Q9Y3E7149167;0;1;0;0;0;0
Q9Y3I0411432;0;0;0;0;0;1
Q9Y446349358;0;0;0;0;0;1
Q9Y49010391072;0;1;0;0;0;0
Q9Y49014371469;0;1;0;0;0;0
Q9Y49015701593;0;0;0;0;0;1
Q9Y49016051618;0;0;0;0;0;1
Q9Y49017101721;1;0;0;0;0;0
Q9Y490182190;0;1;0;0;0;0
Q9Y49018671895;0;0;1;0;0;0
Q9Y490514532;0;1;0;0;0;0
Q9Y490571589;0;0;0;0;0;1
Q9Y4D15871;0;1;0;0;0;0
Q9Y4E8275281;0;1;0;0;0;0
Q9Y4G613551370Q9Y49013531368;0;1;0;0;0;0
