;P7 VLU heel;P8 VLU heel;P9 VLU heel;P10 VLU heel;P11 VLU heel;P12 VLU heel 
P0102412421254;0;1;0;0;0;0
P0102414811491;0;0;0;0;0;1
P01024560573;1;0;0;0;0;0
P01024752764;0;1;0;0;0;0
P0103111941206;1;0;0;0;0;0
P01031391412;0;1;0;0;0;0
P01031432449;0;1;0;0;0;0
P010348996;1;0;0;0;0;0
P015991740;1;0;0;0;0;0
P016242038;1;0;0;0;0;0
P017186979P017176979;0;1;0;0;0;0
P017724957;0;1;0;0;0;0
P01876312331P01877299318;0;1;0;0;0;0
P020422231;0;0;1;0;0;0
P0245213771399;0;1;0;0;0;0
P02462598625;0;0;0;0;0;1
P025116269;0;1;0;0;0;0
P0251195107;0;1;0;0;0;0
P02533425439;0;0;0;0;0;1
P02533715P08779715;1;0;0;0;0;0
P02538145158;0;0;0;0;0;1
P02545588624;0;0;0;0;0;1
P0254915421551;1;0;0;0;0;0
P02549753765;0;1;0;0;0;0
P02647156164;0;1;0;0;0;0
P02671592599;0;0;0;0;0;1
P02671600621;0;0;1;0;0;0
P02675171196;0;0;0;1;0;0
P02679209223;0;0;0;0;0;1
P02679376401;0;1;0;0;0;0
P02730127138;1;0;0;0;0;0
P02743116139;0;0;0;0;0;1
P02743140157;0;0;0;1;0;0
P02748392408;0;0;1;0;0;0
P0274887111;0;0;0;0;0;1
P0275111811197;0;1;0;0;0;0
P0275114171442;0;1;0;0;0;0
P0275114341442;0;1;0;0;0;0
P0275116531664;0;0;1;0;0;0
P0275117321752;0;1;0;0;0;0
P0275119331950;1;0;0;0;0;0
P0275119361950P0275119361950;0;1;0;0;0;0
P0275120292036;0;0;0;0;0;1
P0275120612079;0;0;0;0;0;1
P0275122242240;0;1;0;0;0;0
P02751401411;0;1;0;0;0;0
P02751741751;0;1;0;0;0;0
P027606685;0;0;0;0;0;1
P02765181187;0;1;0;0;0;0
P027658699;0;1;0;0;0;0
P02766108123;0;1;0;0;0;0
P02774224232;0;0;0;0;0;1
P02774408425;0;0;0;1;0;0
P02774411425;0;1;0;0;0;0
P027754462;1;0;0;0;0;0
P027754862;0;1;0;0;0;0
P02787231251;1;0;0;0;0;0
P02790155166;0;0;0;1;0;0
P02790170180;0;0;0;0;0;1
P039503645;0;0;0;0;0;1
P04004303310;0;1;0;0;0;0
P04040160170;0;0;1;0;0;0
P040805468;0;1;0;0;0;0
P04083108124;0;0;1;0;0;0
P04083279292;0;1;0;0;0;0
P0411422872295;1;0;0;0;0;0
P04181224250;0;1;0;0;0;0
P04196166176;0;1;0;0;0;0
P04217231244;0;1;0;0;0;0
P04259114158P48668114158;0;0;0;0;0;1
P04259307326P02538307326P48668307326;0;0;1;0;0;0
P04259325347P02538325347P48668325347;0;0;0;0;0;1
P04259550559P02538550559P48668550559;0;0;1;0;0;0
