;One;Two;Three;Four;Five;Six
P42765;1;1;1;1;1;1
Q9NVA2;1;0;1;0;1;1
Q99598;1;1;0;0;1;1
O43143;1;1;1;1;1;1
Q9UHQ9;1;1;1;1;1;1
P51659;1;1;1;1;0;1
Q9UKU9;1;1;1;0;1;1
Q562R1;1;1;1;1;1;1
Q16698;1;1;1;1;1;1
P38117;1;1;0;0;0;1
P61513;1;0;1;1;0;1
P31150;1;1;1;1;1;1
Q9BY77;1;0;0;1;0;1
P28070;1;0;1;1;1;1
P55809;1;0;0;0;1;1
P49721;1;1;1;0;1;1
Q13425;1;0;0;0;0;1
O60784;1;1;0;1;1;1
P27144;1;1;0;1;1;1
Q9H4G4;1;1;0;0;1;1
Q13243;1;1;1;1;1;1
P56385;1;1;1;1;1;1
Q9H4A4;1;0;0;0;0;1
P07741;1;1;1;1;0;1
P78539;1;1;1;0;1;1
P12955;1;0;0;1;0;1
P07339;1;1;1;1;0;1
Q9NRX4;1;1;0;1;1;1
A0A0B4J2D5;1;1;0;1;0;1
P49419;1;1;1;1;1;1
P17900;1;1;0;1;1;1
P35609;1;1;0;1;0;1
P21399;1;1;1;1;0;1
Q7RTS7;1;1;1;1;1;1
Q02218;1;1;1;1;1;1
P12429;1;1;0;0;1;1
Q9UEY8;1;0;0;0;0;1
P11177;1;0;0;0;0;1
P49821;1;1;1;1;0;1
P33121;1;1;0;1;0;1
O14907;1;1;1;1;0;1
P62851;1;1;1;1;1;1
Q00341;1;1;1;1;1;1
P23381;1;1;1;1;1;1
O15145;1;1;1;1;1;1
Q15046;1;1;1;0;0;1
P21964;1;1;1;1;0;1
P30038;1;1;1;1;1;1
Q9NRN5;1;1;1;1;1;1
P11233;1;1;1;1;1;1
Q9UHV9;1;1;1;1;0;1
O00264;1;1;1;1;0;1
P49458;1;1;1;1;0;1
P13693;1;1;1;1;1;1
Q9BV57;1;1;1;1;0;1
P00352;1;1;1;1;1;1
Q14166;1;1;0;1;0;1
Q9Y230;1;1;1;1;1;1
P05141;1;1;1;1;1;1
Q14210;1;0;1;1;1;1
P48643;1;1;1;1;1;1
P10253;1;0;1;0;0;1
Q96F85;1;0;0;1;0;1
Q9Y224;1;1;1;1;1;1
P28838;1;1;1;1;1;1
P62266;1;1;1;1;1;1
Q08211;1;1;1;1;1;1
Q9UBS4;1;0;0;1;0;1
Q9Y446;1;1;1;1;1;1
P55036;1;1;0;1;1;1
O14964;1;1;1;1;1;1
P36952;1;1;1;1;1;1
Q02539;1;0;1;1;0;1
P08134;1;1;1;1;1;1
P48739;1;1;1;0;0;1
P46782;1;1;0;1;1;1
P62263;1;1;1;1;1;1
