;One;Two;Three;Four;Five;Six
O15231;1;1;1;1;1;1
O15247;1;1;0;0;1;1
O15254;1;1;0;0;0;0
O15258;1;1;0;1;1;1
O15264;0;0;0;0;0;1
O15294;0;0;0;1;1;1
O15305;0;1;0;0;0;1
O15355;0;1;0;1;0;1
O15371;1;1;1;1;1;1
O15382;0;1;0;0;0;0
O15400;1;1;1;1;1;1
O15428;0;0;0;1;0;0
O15446;1;0;0;1;0;1
O15460;0;0;1;0;0;0
O15498;0;1;0;0;0;0
O15511;0;1;1;1;1;1
O15540;1;1;1;0;0;0
O15550;0;0;0;0;0;1
O43143;1;1;1;1;0;1
O43149;0;1;0;0;0;0
O43150;0;1;0;0;0;0
O43169;1;0;1;1;1;1
O43172;0;1;1;0;0;0
O43175;1;1;1;1;1;1
O43181;0;0;0;1;1;1
O43237;1;1;1;1;1;1
O43240;0;0;0;0;0;1
O43242;1;1;1;1;1;1
O43251;0;0;0;1;0;0
O43252;0;0;0;0;0;1
O43264;0;0;0;0;0;1
O43281;0;0;1;1;0;0
O43290;1;1;1;1;0;1
O43294;1;1;0;1;1;1
O43301;0;0;0;0;0;1
O43390;1;1;1;1;1;1
O43396;1;1;1;1;1;1
O43399;1;1;1;1;1;1
O43402;0;0;0;0;0;1
O43432;0;0;0;0;0;1
O43447;1;1;1;1;1;1
O43463;0;0;0;1;0;0
O43464;1;1;1;1;0;0
O43488;1;1;1;1;1;1
O43491;1;1;1;1;1;1
O43504;0;0;0;0;0;1
O43516;0;1;0;0;0;1
O43548;0;0;0;0;1;0
O43583;0;1;0;1;1;1
O43598;1;1;1;1;0;1
O43617;0;0;0;1;0;0
O43633;1;1;1;1;0;1
O43660;0;1;1;0;0;0
O43670;1;1;1;0;1;1
O43678;1;1;1;1;1;1
O43681;1;1;0;0;0;1
O43684;0;0;0;1;0;1
O43707;1;1;1;1;1;1
O43715;0;0;0;1;0;0
O43719;1;1;0;1;0;1
O43747;0;1;0;0;0;0
O43760;1;0;0;1;0;1
O43768;1;1;1;1;1;1
O43776;1;1;1;1;1;1
O43795;1;0;1;0;0;1
O43809;1;1;1;1;1;1
O43813;1;1;1;1;1;1
O43815;1;0;0;1;0;1
O43818;0;1;1;0;0;1
O43824;0;1;1;1;0;0
O43827;0;0;0;1;0;0
O43847;0;0;1;0;0;0
O43852;1;1;1;1;1;1
O43865;1;1;1;1;0;0
O43866;1;0;0;1;1;0
O43920;1;1;0;0;0;0
O60218;1;0;0;0;0;1
O60220;0;1;1;1;0;1
O60232;1;0;1;0;0;1
O60234;1;1;1;1;1;1
O60237;0;0;1;0;1;1
O60240;1;1;1;1;1;1
O60245;1;1;0;0;0;1
O60256;1;0;0;0;0;0
O60264;1;1;0;0;0;1
O60271;1;1;1;1;1;1
O60287;1;1;0;1;0;0
O60290;0;0;0;1;0;0
O60308;0;0;0;1;0;0
O60312;0;0;0;0;1;0
O60313;0;1;0;1;0;1
O60331;0;0;0;0;1;0
O60343;0;0;0;0;1;1
O60423;0;0;0;0;1;0
O60437;1;1;1;1;1;1
O60493;1;1;1;1;1;1
O60502;1;1;1;1;1;1
O60504;1;1;1;1;1;1
O60506;1;1;1;1;1;1
O60518;0;1;0;0;0;0
O60524;0;0;1;0;1;0
O60610;0;1;1;0;1;1
O60613;1;1;1;1;0;1
O60645;0;1;0;0;0;1
O60664;1;1;1;1;1;1
O60684;1;1;1;1;1;1
O60687;0;1;0;0;0;0
O60701;1;1;1;1;1;1
O60716;1;1;1;1;1;1
O60721;0;1;1;0;1;0
O60749;1;1;1;1;1;1
O60760;0;1;0;1;0;0
O60763;1;1;1;1;1;1
O60784;1;1;1;1;1;1
O60814;1;1;1;1;1;1
O60825;0;0;0;1;0;1
O60826;0;1;0;0;0;0
O60828;0;1;1;0;1;0
O60832;1;0;0;1;0;0
O60840;0;1;0;0;0;0
O60841;0;0;1;1;1;1
O60869;1;1;1;1;1;1
O60879;1;0;0;1;0;0
O60884;1;0;1;1;1;1
O60888;1;1;1;1;1;1
O60911;1;1;1;1;1;1
O60925;0;1;0;0;0;0
O60927;1;1;1;0;1;1
O60934;0;0;1;0;0;0
O60936;1;0;0;1;0;1
O60938;0;0;0;1;1;0
O75023;0;1;0;0;0;1
O75037;0;0;1;0;0;0
O75069;1;1;1;0;0;0
O75083;1;1;1;1;1;1
O75094;0;0;0;1;0;0
O75095;0;1;0;0;0;0
O75112;1;1;0;1;1;1
O75116;1;1;1;1;0;1
O75131;1;1;1;1;1;1
O75146;0;1;0;0;0;1
O75190;1;1;1;1;1;1
O75223;1;1;0;1;0;1
O75251;1;0;1;1;1;1
O75306;0;1;0;0;0;0
O75323;1;1;1;1;1;1
O75339;1;1;1;1;1;1
O75340;1;1;1;1;1;1
O75342;0;0;1;0;0;0
O75347;0;1;1;1;1;1
O75348;0;1;1;1;1;1
O75351;1;1;0;0;1;1
O75355;0;0;0;0;0;1
O75367;1;1;1;1;1;1
O75368;1;1;1;1;1;1
O75369;1;1;1;1;1;1
O75380;1;1;0;0;0;0
O75381;1;1;0;0;0;1
O75390;1;1;1;1;1;1
O75391;1;0;0;0;0;0
O75396;1;1;1;1;1;1
O75400;0;1;1;1;1;1
O75410;0;1;1;0;1;0
O75427;0;0;1;1;0;1
O75436;0;1;0;1;0;1
O75438;0;0;0;1;0;0
O75439;0;1;1;1;0;1
O75475;1;0;1;0;0;0
O75489;1;1;1;1;1;1
O75494;1;1;1;1;1;1
O75521;0;0;0;0;0;1
O75525;1;0;0;1;1;1
O75531;1;1;1;1;1;1
O75533;1;1;1;1;1;1
O75534;0;1;0;0;0;1
O75541;0;0;0;0;0;1
O75569;0;1;1;0;0;1
O75592;1;0;0;0;0;0
O75608;0;1;0;1;0;1
O75629;0;0;1;1;1;1
O75635;1;0;1;0;0;0
O75636;1;0;0;0;0;0
O75643;1;0;1;1;0;1
O75683;0;1;0;0;0;0
O75694;0;1;1;1;0;0
O75718;0;0;1;0;0;0
O75746;0;0;0;1;0;0
O75764;0;1;0;0;0;0
O75781;1;1;1;1;1;1
O75821;1;1;1;1;1;1
O75822;1;0;1;1;1;1
O75828;1;1;1;1;1;1
O75832;1;1;0;0;0;0
O75874;1;1;1;1;1;1
O75884;0;1;1;1;1;1
O75886;0;1;0;0;0;1
O75909;0;0;0;0;1;0
O75915;1;1;0;1;1;1
O75923;0;0;0;0;1;0
O75934;1;1;0;1;1;1
O75935;1;1;0;1;1;1
O75936;0;0;1;1;0;1
O75937;1;1;1;1;1;1
O75940;0;1;0;0;0;0
O75947;1;1;1;1;0;1
O75955;0;1;1;0;1;1
O75964;1;1;1;1;0;1
O76003;1;0;1;1;1;1
O76013;1;0;0;0;0;0
O76015;0;1;1;1;1;1
O76021;1;1;0;0;0;1
O76041;1;0;0;1;0;0
O76042;0;0;0;0;1;1
O76070;1;1;1;1;0;1
O76071;1;0;0;0;0;1
O76076;1;1;0;0;0;1
O76083;0;0;1;0;0;0
O76094;1;1;1;0;0;0
O94760;1;0;0;0;0;0
O94776;1;1;1;1;0;1
O94788;0;0;0;0;1;0
O94819;1;0;0;0;0;0
O94826;1;1;1;1;0;1
O94832;0;1;1;1;0;1
O94844;0;0;0;0;0;1
O94874;0;1;0;0;0;1
O94875;1;1;1;1;1;1
O94888;1;0;1;0;1;0
O94901;0;1;0;1;0;1
O94903;1;0;1;1;1;1
O94905;0;1;0;0;0;0
O94906;1;1;1;0;0;0
O94919;0;0;0;0;0;1
O94927;0;0;0;0;0;1
O94953;0;0;0;1;0;0
O94973;1;1;1;1;1;1
O94979;1;1;1;1;1;1
O95139;1;0;1;0;1;1
O95147;0;0;1;0;0;1
O95155;1;0;1;1;1;1
O95168;0;0;1;1;1;1
O95169;0;0;1;1;0;1
O95171;1;1;1;1;1;1
O95178;1;1;1;1;1;1
O95182;0;1;1;0;0;0
O95202;0;0;1;1;0;1
O95219;0;1;0;0;1;1
O95232;0;0;1;0;0;1
O95249;0;0;0;0;0;1
O95274;0;1;1;0;1;1
O95292;1;1;1;1;0;1
O95295;1;1;1;1;1;1
O95299;0;0;0;0;0;1
O95302;1;1;1;1;1;1
O95336;1;1;1;1;1;1
O95359;1;1;1;1;0;1
O95365;1;0;0;0;0;0
O95372;1;1;1;0;0;1
O95379;0;0;1;0;0;0
O95391;0;0;1;0;0;0
O95394;0;0;0;0;1;1
O95400;0;1;0;1;1;1
O95425;1;1;1;1;1;1
O95428;1;1;0;1;0;1
O95433;1;1;1;1;1;1
O95445;1;1;1;1;1;0
O95453;0;0;0;0;0;1
O95460;1;0;0;0;0;0
O95479;1;1;1;0;0;1
O95571;0;0;0;1;1;1
O95630;1;1;1;1;1;1
O95631;1;1;1;1;0;1
O95670;1;1;0;1;1;1
O95678;1;1;1;1;1;1
O95684;1;0;1;1;0;1
O95715;1;1;0;1;1;1
O95716;0;0;0;0;0;1
O95718;0;1;0;1;0;1
O95721;0;1;1;0;0;0
O95747;1;0;1;1;0;0
O95749;0;1;1;1;0;0
O95757;0;1;1;0;0;1
O95758;1;1;1;1;0;1
O95759;0;0;0;1;0;0
O95777;1;1;1;1;1;1
O95782;1;1;1;1;1;1
O95793;0;1;0;1;0;0
O95810;1;1;1;1;1;1
O95816;1;0;0;1;0;1
O95817;1;1;1;1;1;1
O95819;1;1;1;1;0;1
O95822;0;0;0;0;0;1
O95831;0;1;1;1;1;1
O95832;0;1;1;0;0;0
O95833;0;1;0;0;0;0
O95834;0;1;0;0;1;0
O95835;1;0;1;0;0;1
O95837;0;0;0;0;0;1
O95861;1;1;1;1;1;1
O95865;1;1;1;1;1;1
O95881;1;1;0;1;0;0
O95967;1;0;1;0;0;0
O96000;1;1;1;1;1;1
O96005;0;0;1;0;0;1
O96007;0;1;0;0;0;0
O96015;0;1;0;0;0;0
O96019;1;1;1;1;1;1
P00167;1;0;1;1;0;1
P00325;1;1;1;1;1;1
P00326;0;1;0;0;0;1
P00338;1;1;1;1;1;1
P00352;1;1;1;1;1;1
P00367;1;1;1;1;1;1
P00387;1;1;1;1;1;1
P00403;1;1;1;1;0;1
P00441;1;1;1;1;1;1
P00450;1;1;1;1;1;1
P00451;0;1;0;0;0;0
P00488;1;1;1;1;1;1
P00491;1;1;1;1;1;1
P00492;1;0;1;0;0;1
P00505;1;1;1;1;1;1
P00533;0;0;0;0;0;1
P00558;1;1;1;1;1;1
P00568;1;1;1;1;1;1
P00734;1;1;1;1;1;1
P00736;1;1;1;1;1;1
P00738;1;1;1;1;1;1
P00739;1;1;1;1;1;1
P00740;0;0;0;0;1;1
P00742;0;1;0;0;0;1
P00746;1;1;0;1;1;1
P00747;1;1;1;1;1;1
P00748;1;1;1;1;1;1
P00751;1;1;1;1;1;1
P00813;0;1;0;1;1;0
P00915;1;1;1;1;1;1
P00918;1;1;1;1;1;1
P00966;1;1;1;1;1;1
P01008;1;1;1;1;1;1
P01009;1;1;1;1;1;1
P01011;1;1;1;1;1;1
P01019;1;1;1;1;1;1
P01023;1;1;1;1;1;1
P01024;1;1;1;1;1;1
P01031;1;1;1;1;1;1
P01033;0;1;0;0;0;0
P01034;1;1;1;1;1;1
P01040;1;1;1;1;1;1
P01042;1;1;1;1;1;1
P01116;1;1;0;1;1;0
P01266;0;0;1;1;0;0
P01591;1;1;1;1;1;1
P01594;0;1;1;0;1;1
P01599;1;1;1;0;0;0
P01614;1;1;1;1;1;1
P01615;1;1;1;1;1;1
P01619;1;1;1;1;1;1
P01624;1;1;1;1;1;1
P01699;1;0;1;1;1;1
P01700;1;1;1;1;1;0
P01703;1;1;1;1;1;1
P01714;1;1;1;1;1;1
P01717;0;1;0;0;0;0
P01718;1;1;1;1;1;1
P01721;0;1;1;0;0;0
P01742;1;0;1;1;1;1
P01762;1;1;1;1;1;1
P01763;0;0;0;1;0;0
P01766;0;0;0;1;0;1
P01767;0;0;0;0;0;1
P01768;1;1;1;1;1;1
P01772;1;1;1;1;1;1
P01780;1;1;0;0;1;1
P01782;0;1;1;0;0;0
P01834;1;0;0;1;1;1
P01859;1;1;1;1;1;1
P01860;1;1;1;1;1;1
P01861;1;1;1;1;1;1
P01871;1;1;1;1;1;1
P01876;1;1;1;1;1;1
P01877;1;1;1;1;1;1
P01880;0;0;1;0;0;1
P01891;0;1;0;0;0;0
P01903;1;1;1;0;1;0
P01911;0;0;0;0;0;1
P01912;0;0;0;0;1;0
P02042;1;1;1;1;1;1
P02100;0;1;0;0;0;0
P02452;1;1;1;1;1;1
P02458;1;1;1;1;1;1
P02461;1;1;1;1;1;1
P02462;0;0;0;0;0;1
P02511;1;1;1;1;1;1
P02533;1;1;1;1;1;1
P02538;1;1;1;1;1;1
P02545;1;1;1;1;1;1
P02549;1;1;1;1;1;1
P02647;1;1;1;1;1;1
P02649;1;1;1;1;1;1
P02652;1;1;1;1;1;1
P02654;1;1;1;1;1;1
P02655;1;1;1;1;1;1
P02656;1;1;1;1;1;1
P02671;1;1;1;1;1;1
P02675;1;1;1;1;1;1
P02679;1;1;1;1;1;1
P02686;1;1;0;1;1;1
P02724;1;1;1;1;1;1
P02730;1;1;1;1;1;1
P02741;0;1;1;0;0;1
P02743;1;1;1;1;1;1
P02745;0;0;0;0;0;1
P02746;1;1;1;1;1;1
P02747;1;1;1;1;1;1
P02748;1;1;1;1;1;1
P02749;1;1;1;1;1;1
P02750;1;1;1;1;1;1
P02751;1;1;1;1;1;1
P02753;1;1;1;1;1;1
P02760;1;1;1;1;1;1
P02763;1;1;1;1;1;1
P02765;1;1;1;1;1;1
P02766;1;1;1;1;1;1
P02768;1;1;1;1;1;1
P02774;1;1;1;1;1;1
P02775;1;1;1;1;1;1
P02787;1;1;1;1;1;1
P02788;1;1;1;1;1;1
P02790;1;1;1;1;1;1
P02792;1;1;1;1;1;1
P02794;1;1;1;1;1;1
P03950;1;1;1;1;1;1
P03952;1;1;1;1;0;0
P03973;0;1;0;0;0;1
P04003;1;1;1;1;1;1
P04004;1;1;1;1;1;1
P04040;1;1;1;1;1;1
P04070;1;1;1;1;1;1
P04075;1;1;1;1;1;1
P04080;1;1;1;1;1;1
P04083;1;1;1;1;1;1
P04085;0;1;0;0;0;0
P04114;1;1;1;1;1;1
P04150;0;0;0;1;0;0
P04179;1;0;1;1;0;1
P04181;1;1;1;1;1;1
P04196;1;1;1;1;1;1
P04216;1;1;1;1;1;1
P04217;1;1;1;1;1;1
P04259;1;1;1;1;1;1
P04264;1;1;1;1;1;1
P04271;1;0;0;1;1;1
P04275;1;1;1;1;1;1
P04406;1;1;1;1;1;1
P04432;1;0;0;0;0;0
P04433;0;1;0;1;0;0
P04440;1;1;1;1;0;1
P04632;1;1;1;1;1;1
P04792;1;1;1;1;1;1
P04843;1;1;1;1;1;1
P04844;1;1;1;1;1;1
P04899;1;1;1;1;0;1
P04920;0;1;0;0;0;0
P04921;1;1;1;1;1;1
P05023;1;1;1;0;1;1
P05026;0;0;0;1;0;0
P05089;1;1;1;1;1;1
P05090;1;1;1;1;1;1
P05091;1;1;1;1;1;1
P05106;0;0;1;0;0;1
P05109;1;1;1;0;1;1
P05114;1;1;1;1;1;1
P05120;1;1;1;1;1;1
P05141;1;1;1;1;1;1
P05154;0;0;0;0;1;0
P05155;1;1;1;1;1;1
P05156;1;1;1;1;1;0
P05160;1;1;1;1;1;1
P05161;0;1;0;0;0;0
P05164;1;1;1;1;1;1
P05165;0;0;0;1;0;0
P05198;1;1;1;1;1;1
P05204;1;1;1;1;1;1
P05362;1;1;1;1;0;1
P05387;0;0;0;0;0;1
P05388;1;1;1;1;1;1
P05452;1;1;1;1;1;1
P05455;1;1;1;1;1;1
P05496;0;0;0;0;0;1
P05534;1;0;1;1;0;0
P05546;1;1;1;1;1;1
P05556;1;1;1;1;1;1
P05771;0;1;0;0;1;0
P05783;1;1;1;1;1;1
P05787;1;1;1;1;1;1
P05997;1;1;1;1;1;1
P06132;1;1;1;1;0;1
P06239;1;0;0;0;0;0
P06280;0;0;0;1;0;1
P06310;1;1;1;1;1;1
P06312;1;1;1;1;1;1
P06331;1;1;0;1;0;1
P06396;1;1;1;1;1;1
P06454;1;1;1;1;1;1
P06576;1;1;1;1;1;1
